Round,ClientID,ClientAccuracy,ClientTrainingTime,exp,K,Z,sigma_ed,sigma_iid,timestamp
8,client9,0.7656365182874965,14772.62451685965,exp1,5,15,1000.0,10,10-05-26-111252
9,client5,0.7192917951183642,13141.775618307292,exp1,5,15,1000.0,10,10-05-26-111252
9,client17,0.580376610505451,13401.9786240533,exp1,5,15,1000.0,10,10-05-26-111252
9,client13,0.7227475518392772,16858.6348593235,exp1,5,15,1000.0,10,10-05-26-111252
9,client1,0.5519363215535734,15358.036796562374,exp1,5,15,1000.0,10,10-05-26-111252
9,client9,0.7454210377091012,13275.266314856708,exp1,5,15,1000.0,10,10-05-26-111252
10,client5,0.7110897417767345,14371.887108311055,exp1,5,15,1000.0,10,10-05-26-111252
10,client17,0.7905139459153334,13129.087910056114,exp1,5,15,1000.0,10,10-05-26-111252
10,client13,0.8325710597940459,16099.711373448372,exp1,5,15,1000.0,10,10-05-26-111252
10,client1,0.7585807835610252,13116.565680131316,exp1,5,15,1000.0,10,10-05-26-111252
10,client9,0.7495605330309044,14555.04324287176,exp1,5,15,1000.0,10,10-05-26-111252
11,client5,0.7191786633481347,14108.330222778022,exp1,5,15,1000.0,10,10-05-26-111252
11,client17,0.797479824437208,15216.73710271716,exp1,5,15,1000.0,10,10-05-26-111252
11,client13,0.8230590083896855,16053.999666124582,exp1,5,15,1000.0,10,10-05-26-111252
11,client1,0.8270012419555154,15008.426536805928,exp1,5,15,1000.0,10,10-05-26-111252
11,client9,0.7335412531896797,15022.752281278372,exp1,5,15,1000.0,10,10-05-26-111252
12,client5,0.7629323754843453,12409.034450538456,exp1,5,15,1000.0,10,10-05-26-111252
12,client17,0.8114965312190288,13998.561516404152,exp1,5,15,1000.0,10,10-05-26-111252
12,client13,0.8335811891467213,16056.524466723204,exp1,5,15,1000.0,10,10-05-26-111252
12,client1,0.8255334763463927,14302.78158467263,exp1,5,15,1000.0,10,10-05-26-111252
12,client9,0.7202438332860788,13551.862516440451,exp1,5,15,1000.0,10,10-05-26-111252
13,client5,0.7514777837486212,13386.378141120076,exp1,5,15,1000.0,10,10-05-26-111252
13,client17,0.7733257822455047,13408.702031709254,exp1,5,15,1000.0,10,10-05-26-111252
13,client13,0.7997699149807794,16770.725021138787,exp1,5,15,1000.0,10,10-05-26-111252
13,client1,0.7929885965902675,13247.647693380712,exp1,5,15,1000.0,10,10-05-26-111252
13,client9,0.7857385880351574,12985.971958376467,exp1,5,15,1000.0,10,10-05-26-111252
14,client5,0.6494329270017253,12830.984665080903,exp1,5,15,1000.0,10,10-05-26-111252
14,client17,0.6338949454905848,13234.600622206926,exp1,5,15,1000.0,10,10-05-26-111252
14,client13,0.7807458121720587,16209.378980100157,exp1,5,15,1000.0,10,10-05-26-111252
14,client1,0.7745286214293778,12908.342470414937,exp1,5,15,1000.0,10,10-05-26-111252
14,client9,0.6926282960022682,15149.440853856504,exp1,5,15,1000.0,10,10-05-26-111252
15,client5,0.7758011143479367,13097.260770387948,exp1,5,15,1000.0,10,10-05-26-111252
15,client17,0.7742035962055783,13972.269284538925,exp1,5,15,1000.0,10,10-05-26-111252
15,client13,0.773702965852016,16904.396027326584,exp1,5,15,1000.0,10,10-05-26-111252
15,client1,0.7244270068872078,14405.277274549007,exp1,5,15,1000.0,10,10-05-26-111252
15,client9,0.7204706549475475,14750.617971643806,exp1,5,15,1000.0,10,10-05-26-111252
16,client5,0.8298781005175778,12700.061143375931,exp1,5,15,1000.0,10,10-05-26-111252
16,client17,0.8119779130681014,13345.45228164643,exp1,5,15,1000.0,10,10-05-26-111252
16,client13,0.7689609697241786,16525.48996824771,exp1,5,15,1000.0,10,10-05-26-111252
16,client1,0.7523992322456814,14618.871706537902,exp1,5,15,1000.0,10,10-05-26-111252
16,client9,0.7914941876949249,14915.084845386446,exp1,5,15,1000.0,10,10-05-26-111252
17,client5,0.7981163560256809,14155.10860364884,exp1,5,15,1000.0,10,10-05-26-111252
17,client17,0.7877672377176838,13476.788540370762,exp1,5,15,1000.0,10,10-05-26-111252
17,client13,0.7710092875782149,16862.632609903812,exp1,5,15,1000.0,10,10-05-26-111252
17,client1,0.7721011629219826,14889.447360299528,exp1,5,15,1000.0,10,10-05-26-111252
17,client9,0.8058690104905019,13741.238681599498,exp1,5,15,1000.0,10,10-05-26-111252
18,client5,0.7952032129422745,13390.289607457817,exp1,5,15,1000.0,10,10-05-26-111252
18,client17,0.7428005096984285,13480.731605552137,exp1,5,15,1000.0,10,10-05-26-111252
18,client13,0.7318387160133561,16212.223261594772,exp1,5,15,1000.0,10,10-05-26-111252
18,client1,0.7568307553347635,14569.820271804929,exp1,5,15,1000.0,10,10-05-26-111252
18,client9,0.7842358945279274,14213.94857764244,exp1,5,15,1000.0,10,10-05-26-111252
19,client5,0.7540515315213395,13144.140386022627,exp1,5,15,1000.0,10,10-05-26-111252
19,client17,0.6768228797961207,13549.998678267002,exp1,5,15,1000.0,10,10-05-26-111252
19,client13,0.7053789388029967,16608.833466656506,exp1,5,15,1000.0,10,10-05-26-111252
19,client1,0.7661736479620639,14879.572517238556,exp1,5,15,1000.0,10,10-05-26-111252
19,client9,0.6708250637935923,13428.349007852376,exp1,5,15,1000.0,10,10-05-26-111252
20,client5,0.7410696608875187,13216.645863838494,exp1,5,15,1000.0,10,10-05-26-111252
20,client17,0.7910519609231205,13528.524685651064,exp1,5,15,1000.0,10,10-05-26-111252
20,client13,0.7705322820505626,16138.104320503771,exp1,5,15,1000.0,10,10-05-26-111252
20,client1,0.7960370328553686,15373.80308099091,exp1,5,15,1000.0,10,10-05-26-111252
