Round,ClientID,ClientAccuracy,ClientTrainingTime,exp,K,Z,sigma_ed,sigma_iid,timestamp
19,client9,0.7687278901938588,14019.149852916598,exp1,5,15,1000.0,10,09-05-26-141047
20,client5,0.7731101939277435,14411.20142210275,exp1,5,15,1000.0,10,09-05-26-141047
20,client17,0.80888123535556,13236.164443194866,exp1,5,15,1000.0,10,09-05-26-141047
20,client13,0.7724312896405919,16127.930236048996,exp1,5,15,1000.0,10,09-05-26-141047
20,client1,0.8079680371766172,14164.482735097408,exp1,5,15,1000.0,10,09-05-26-141047
20,client9,0.7165416725626149,14871.93281762302,exp1,5,15,1000.0,10,09-05-26-141047
21,client5,0.7918810425736417,14728.117933496833,exp1,5,15,1000.0,10,09-05-26-141047
21,client17,0.8115348784687915,13438.063234090803,exp1,5,15,1000.0,10,09-05-26-141047
21,client13,0.7579704016913319,16396.8510851264,exp1,5,15,1000.0,10,09-05-26-141047
21,client1,0.7603921679748378,14555.94791751355,exp1,5,15,1000.0,10,09-05-26-141047
21,client9,0.7535870949483515,15249.150064773858,exp1,5,15,1000.0,10,09-05-26-141047
22,client5,0.8193023124328603,12798.533599823711,exp1,5,15,1000.0,10,09-05-26-141047
22,client17,0.8134545351890015,13326.101027429104,exp1,5,15,1000.0,10,09-05-26-141047
22,client13,0.7905567300916138,15700.73068793863,exp1,5,15,1000.0,10,09-05-26-141047
22,client1,0.7820124110963135,15224.201110191643,exp1,5,15,1000.0,10,09-05-26-141047
22,client9,0.7192868260931088,15092.338259331882,exp1,5,15,1000.0,10,09-05-26-141047
23,client5,0.8346525696839486,13218.406992964448,exp1,5,15,1000.0,10,09-05-26-141047
23,client17,0.8325099511616746,13005.12986816466,exp1,5,15,1000.0,10,09-05-26-141047
23,client13,0.7905567300916138,16574.531325139105,exp1,5,15,1000.0,10,09-05-26-141047
23,client1,0.8155903771499816,14020.763117820024,exp1,5,15,1000.0,10,09-05-26-141047
23,client9,0.7974529503325315,14373.305895365776,exp1,5,15,1000.0,10,09-05-26-141047
24,client5,0.8104257364165771,14029.762003570797,exp1,5,15,1000.0,10,09-05-26-141047
24,client17,0.8117324901899896,14832.671248354018,exp1,5,15,1000.0,10,09-05-26-141047
24,client13,0.8145454545454546,16198.970305733385,exp1,5,15,1000.0,10,09-05-26-141047
24,client1,0.8005440480575784,12817.98098422587,exp1,5,15,1000.0,10,09-05-26-141047
24,client9,0.7963209282581011,15381.311040371656,exp1,5,15,1000.0,10,09-05-26-141047
0,client5,0.6452896199531643,14645.174372941256,exp1,5,15,1000.0,10,08-05-26-123027
0,client17,0.6488590832883407,13925.121693871915,exp1,5,15,1000.0,10,08-05-26-123027
0,client13,0.6338624936444268,16990.438835695386,exp1,5,15,1000.0,10,08-05-26-123027
0,client1,0.536575064759545,13902.886010706425,exp1,5,15,1000.0,10,08-05-26-123027
0,client9,0.6138987377676925,15802.309810183942,exp1,5,15,1000.0,10,08-05-26-123027
1,client5,0.6259628135315859,14553.459331393242,exp1,5,15,1000.0,10,08-05-26-123027
