exp,K,Z,sigma_ed,sigma_iid,total_mean,total_std,total_min,total_max,total_cv,round_dur_mean,round_dur_std,round_dur_min,round_dur_max,agg_time_mean,agg_time_std,train_time_mean,train_time_std,train_time_min,train_time_max,acc_final_mean,acc_mean,acc_max,acc_std,n_rounds
exp1,5,330,1000.0,10,57727.964519999994,4538.62218667191,44271.512999999984,63360.024000000005,0.07862085948136094,155.21365750860002,11.898172908308641,120.356583846,164.300446206,488.9761821304758,57.143036219872485,815.6408080955347,46.7116228347861,760.5603905394673,1024.4372049346566,0.45756504814587173,0.4111893054701905,0.6059081130915795,0.14587168297471867,24
exp1,5,360,1000.0,10,59847.4978,1496.0841328104661,56492.445,62999.87100000001,0.024998273742540097,160.69239999919998,1.0905825422168727,158.292648255,162.457191772,520.1554542283217,42.890728158730184,745.2075769503912,37.54154414368652,681.8639831617475,885.637198574841,0.5425245851259989,0.419280885064536,0.6166256914566687,0.161690507508279,24
exp1,5,400,1000.0,10,59349.64972,1572.2931165286739,56602.221000000005,64456.401,0.026492037003528146,160.53851153197334,1.2697898859312549,158.061678819,163.080632159,504.6499789878726,44.335837753000185,686.1350436136127,47.01760523392526,632.4294796213508,894.9015624821186,0.5260576726080721,0.4009362835484532,0.61240012292563,0.15313087398081085,24
exp2,5,100,1000.0,10,60824.49472,1875.8245003824127,56542.23300000002,65626.707,0.030839952045924907,162.97053161154665,1.0550028153209214,160.62142563,165.061235252,522.1758089214563,43.59610571355278,2500.967836640775,81.32492402436436,2363.864365965128,2762.2291510924697,0.7077315099364885,0.537061565253022,0.7218423478795328,0.14781116608526784,24
exp2,10,100,1000.0,10,72724.71519999999,1616.649776899208,69029.202,75590.56799999997,0.022229716162562686,169.61495645097332,1.090114126536455,167.326529166,172.468199073,1092.984406935672,99.97610468339623,2627.692170776427,180.15979072131984,2437.252934090793,3686.713951639831,0.6956310182339686,0.5246071501741447,0.7062845728334358,0.15001925828493956,24
exp3,5,30,1.7,3,60317.939880000005,1711.1487209739819,56938.935000000005,64147.226999999984,0.028368819034241554,162.14304069132,1.2511411671986963,159.701379687,165.660456842,518.452083915472,45.70156992351368,5276.3683542609215,1761.7866109766776,3778.630436398089,8625.950315967202,0.2668254456054087,0.22147049784880143,0.3196834665027658,0.05115556958084677,24
exp3,5,30,1000.0,3,60615.74296,1761.0172601461697,57404.17199999998,64508.19000000001,0.029052143455673807,162.63372339551998,1.0335474100910726,160.184072936,165.567568067,515.2351641034087,51.48973903609525,2532.136541195214,118.0495092545275,2360.2230940014124,2978.6932514980435,0.2772613194017619,0.2217634706002868,0.2964812538414259,0.049214808853681694,24
exp3,5,60,1.7,6,61020.66284,1728.2438035404527,57732.399,64744.39499999999,0.028322271884722333,163.38940377326668,1.232603248922155,158.9688357,165.758789307,514.3676139290134,42.260982046349135,4472.776250466704,1055.4788451481068,3411.3203082233667,6665.138999931514,0.4657985044048351,0.35998975619750045,0.497579901659496,0.09821283872055378,24
exp3,5,60,1000.0,6,60692.69587999999,1674.7097292664798,56955.057,64596.077999999994,0.027593266454626963,162.90901819530666,0.9182212810456007,160.239500957,164.718991376,513.9263392612338,37.314988962080925,2661.2224905441203,79.5852339260808,2526.6501987352967,2938.628383912146,0.43981766031550906,0.31694734685515263,0.478718500307314,0.0947170360231825,24
exp3,5,100,1.7,10,61090.10396,1813.3942474039573,57292.839,64764.780000000006,0.029683927999063716,163.38736737570667,1.33470148789358,159.891842312,166.305133813,516.3351333141327,33.84620983916029,3542.1786630526185,553.1080650566929,2694.225705228746,4815.690664574504,0.6506863347674656,0.5515893259577955,0.703019360786724,0.14863115663346924,24
exp3,5,100,1000.0,10,56085.19794,7167.3585420747095,36022.583999999995,64209.369,0.12779412046904706,150.6654116988,17.14209050039056,99.54312101,164.632941556,487.8383979573846,51.37923161234053,2549.8296891339123,129.30392448451323,2388.153163716197,3027.181259356439,0.6859442224953903,0.5304540565457898,0.6999846342962508,0.15382566280236723,24
