exp,K,Z,sigma_ed,sigma_iid,category,energy_mean_J,energy_std_J,energy_min_J,energy_max_J,energy_cv
exp3,5,30,1000.0,3,Other,535.22452,51.72830127078467,455.4360000000006,626.598,0.0966478540086031
exp3,5,30,1000.0,3,Sidecar,19091.00504,613.5229669479208,17662.278,20578.40399999999,0.03213675580004566
exp3,5,30,1000.0,3,Training,8632.615240000001,381.6106859898157,7793.480999999998,9531.942000000001,0.044205686849286205
exp3,5,60,1.7,6,Agent,15021.5912,529.7744483960358,13975.605,16188.141000000009,0.035267532003935495
exp3,5,60,1.7,6,Linkerd proxy,16653.832759999998,445.80153566268916,15721.865999999998,17698.550999999992,0.02676870496342664
exp3,5,60,1.7,6,Orchestration,861.5771599999999,99.98771915672046,658.3799999999992,1068.171,0.11605196121577836
exp3,5,60,1.7,6,Other,543.78496,53.60942115303309,468.6809999999996,637.8900000000012,0.09858570040817807
exp3,5,60,1.7,6,Sidecar,19166.19816,612.2323500156868,17882.190000000002,20386.25099999999,0.03194333820952662
exp3,5,60,1.7,6,Training,8773.678600000001,395.9436997801852,8021.67,10161.834,0.04512858492219959
exp3,5,60,1000.0,6,Agent,14963.434479999998,503.36257366970256,13890.980999999998,15961.574999999999,0.03363950798478069
exp3,5,60,1000.0,6,Linkerd proxy,16589.387,416.05902766291547,15724.481999999998,17560.784999999996,0.02507983132004308
exp3,5,60,1000.0,6,Orchestration,867.92256,88.57039378740029,701.0969999999993,1035.5729999999999,0.10204872861859968
exp3,5,60,1000.0,6,Other,531.60596,51.67489420024457,454.6710000000003,631.2569999999996,0.0972052574433977
exp3,5,60,1000.0,6,Sidecar,19099.070959999997,661.7724962723194,17581.620000000003,20713.055999999997,0.03464946005270612
exp3,5,60,1000.0,6,Training,8641.274920000002,324.0572115456629,7943.930999999999,9337.806,0.03750108803917823
exp3,5,100,1.7,10,Agent,15057.4662,571.2708065141004,13987.595999999998,16126.596000000003,0.03793937166627014
exp3,5,100,1.7,10,Linkerd proxy,16683.901719999998,468.41698901918426,15903.441000000003,17631.351000000002,0.028075985874315274
exp3,5,100,1.7,10,Orchestration,869.09992,108.62102719046827,669.1680000000006,1111.7340000000002,0.12498105763312954
exp3,5,100,1.7,10,Other,536.47392,50.446865699857575,464.2469999999994,633.7980000000025,0.09403414372847346
exp3,5,100,1.7,10,Sidecar,19284.57708,664.1860469635352,17784.618000000002,20720.519999999997,0.03444130738300512
exp3,5,100,1.7,10,Training,8658.58512,314.032948698362,8038.970999999998,9305.786999999997,0.03626839077587794
exp3,5,100,1000.0,10,Agent,13837.50456,1774.722062492525,8691.425999999996,15901.230000000014,0.1282544879965355
exp3,5,100,1000.0,10,Linkerd proxy,15332.05896,1927.530236408262,9906.570000000002,17473.641,0.12571894234407913
exp3,5,100,1000.0,10,Orchestration,788.98866,138.43135946899122,475.28399999999965,1044.384,0.1754541813934198
exp3,5,100,1000.0,10,Other,491.17938000000004,80.86879057748357,284.28600000000006,640.2720000000008,0.1646420714515409
exp3,5,100,1000.0,10,Sidecar,17567.55876,2374.5788114983525,11208.716999999997,20542.751999999997,0.13516840011402656
exp3,5,100,1000.0,10,Training,8067.90762,978.1790910880235,5456.3009999999995,9352.769999999999,0.12124321907989614
