Unnamed: 0,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration,exp,K,Z,sigma_ed,sigma_iid,timestamp
7,0.7224185617701291,508.1628514453769,36603.56922633946,167904498992,exp1,5,30,1000.0,10,10-05-26-123039
8,0.6762830362630609,533.7552968412638,34748.271574266255,165403147457,exp1,5,30,1000.0,10,10-05-26-123039
9,0.7044022741241549,481.2419516965747,36437.30412144214,168291785971,exp1,5,30,1000.0,10,10-05-26-123039
10,0.5777504609711125,425.8770886808634,34418.016348965466,164973161792,exp1,5,30,1000.0,10,10-05-26-123039
11,0.6327212661339889,518.1482182815671,34831.64668176323,167683386003,exp1,5,30,1000.0,10,10-05-26-123039
12,0.7198063921327597,521.5121153742075,35531.894989311695,169503483478,exp1,5,30,1000.0,10,10-05-26-123039
13,0.7420482483097726,486.4450776949525,35339.09857738763,168457837325,exp1,5,30,1000.0,10,10-05-26-123039
14,0.7475799016594961,450.194189324975,36397.15439546853,168662137759,exp1,5,30,1000.0,10,10-05-26-123039
15,0.7682467732022127,440.8368514850736,34485.19585467875,165120717528,exp1,5,30,1000.0,10,10-05-26-123039
16,0.7627535341118623,565.7343696802855,36146.28991950303,168260648666,exp1,5,30,1000.0,10,10-05-26-123039
17,0.7697449293177627,500.28438214212656,36884.90891922265,167406678462,exp1,5,30,1000.0,10,10-05-26-123039
18,0.7700522433927474,505.950621329248,37027.16755960137,168164201131,exp1,5,30,1000.0,10,10-05-26-123039
19,0.7518054701905347,518.8374863937497,35781.38910420239,169491701339,exp1,5,30,1000.0,10,10-05-26-123039
20,0.7685925015365703,500.5915882065892,36754.8044109717,167792395642,exp1,5,30,1000.0,10,10-05-26-123039
21,0.6726336816226183,480.4081944748759,36879.04905807227,167659519300,exp1,5,30,1000.0,10,10-05-26-123039
22,0.7014443761524278,513.0806239321828,36197.73232657462,169059908267,exp1,5,30,1000.0,10,10-05-26-123039
23,0.7360172095881992,544.0747244283557,36796.43579013646,168882184394,exp1,5,30,1000.0,10,10-05-26-123039
24,0.7605255070682237,491.4651084691286,34739.51191920787,166980402391,exp1,5,30,1000.0,10,10-05-26-123039
0,0.291180086047941,598.5281122848392,38357.19018243253,168684280716,exp1,5,30,1000.0,10,09-05-26-152933
1,0.5562768899815611,487.1687237173319,36549.45402778685,168441581523,exp1,5,30,1000.0,10,09-05-26-152933
2,0.4441072526121696,464.1201794147492,35739.05062768608,167721100293,exp1,5,30,1000.0,10,09-05-26-152933
3,0.4899738783036263,511.54915802180767,36501.75598543137,166320992730,exp1,5,30,1000.0,10,09-05-26-152933
4,0.6495082974800246,481.311034411192,37313.97573463619,169226564368,exp1,5,30,1000.0,10,09-05-26-152933
