round,api-gateway_energy,client1_energy,client10_energy,client11_energy,client12_energy,client13_energy,client14_energy,client15_energy,client16_energy,client17_energy,client18_energy,client19_energy,client2_energy,client20_energy,client3_energy,client4_energy,client5_energy,client6_energy,client7_energy,client8_energy,client9_energy,hfl-train_energy,hfl-train-model_energy,linkerd-init_energy,linkerd-proxy_energy,orchestrator_energy,policy-enforcer_energy,server_energy,sidecar_energy,global_round,timestamp,api-gateway_energy_Anomaly,api-gateway_energy_Anomaly_Score,client1_energy_Anomaly,client1_energy_Anomaly_Score,client10_energy_Anomaly,client10_energy_Anomaly_Score,client11_energy_Anomaly,client11_energy_Anomaly_Score,client12_energy_Anomaly,client12_energy_Anomaly_Score,client13_energy_Anomaly,client13_energy_Anomaly_Score,client14_energy_Anomaly,client14_energy_Anomaly_Score,client15_energy_Anomaly,client15_energy_Anomaly_Score,client16_energy_Anomaly,client16_energy_Anomaly_Score,client17_energy_Anomaly,client17_energy_Anomaly_Score,client18_energy_Anomaly,client18_energy_Anomaly_Score,client19_energy_Anomaly,client19_energy_Anomaly_Score,client2_energy_Anomaly,client2_energy_Anomaly_Score,client20_energy_Anomaly,client20_energy_Anomaly_Score,client3_energy_Anomaly,client3_energy_Anomaly_Score,client4_energy_Anomaly,client4_energy_Anomaly_Score,client5_energy_Anomaly,client5_energy_Anomaly_Score,client6_energy_Anomaly,client6_energy_Anomaly_Score,client7_energy_Anomaly,client7_energy_Anomaly_Score,client8_energy_Anomaly,client8_energy_Anomaly_Score,client9_energy_Anomaly,client9_energy_Anomaly_Score,hfl-train_energy_Anomaly,hfl-train_energy_Anomaly_Score,hfl-train-model_energy_Anomaly,hfl-train-model_energy_Anomaly_Score,linkerd-init_energy_Anomaly,linkerd-init_energy_Anomaly_Score,linkerd-proxy_energy_Anomaly,linkerd-proxy_energy_Anomaly_Score,orchestrator_energy_Anomaly,orchestrator_energy_Anomaly_Score,policy-enforcer_energy_Anomaly,policy-enforcer_energy_Anomaly_Score,server_energy_Anomaly,server_energy_Anomaly_Score,sidecar_energy_Anomaly,sidecar_energy_Anomaly_Score,exp,K,Z,sigma_ed,sigma_iid
17,361.76700000000073,813.1709999999985,655.4189999999999,810.2159999999985,644.3639999999996,775.610999999999,705.2849999999999,672.612000000001,764.3400000000001,646.6890000000003,864.5519999999997,851.8919999999998,658.116,844.5480000000007,667.2060000000001,713.6399999999994,668.1059999999998,730.8179999999975,765.8339999999989,663.6900000000005,744.3059999999987,4449.015000000003,4442.889000000001,0.0,16247.273999999998,246.48300000000012,265.4940000000006,574.2900000000009,19346.169000000005,67,10-05-26-170501,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,exp1,5,150,1000.0,10
18,417.2069999999994,607.6830000000009,811.1639999999989,686.0370000000003,669.7800000000007,632.8950000000004,805.7670000000016,735.2939999999999,701.0249999999996,610.8509999999987,691.9709999999995,740.8320000000003,643.6589999999997,687.6810000000005,710.3819999999996,843.3389999999999,701.8109999999997,828.1650000000009,674.2080000000005,877.8149999999987,603.7050000000017,3905.8769999999968,3932.771999999999,0.0,15952.386000000002,302.7930000000006,267.4469999999992,525.6389999999992,18378.078,68,10-05-26-170501,0,0.0,0,0.0,0,0.0,1,0.3586513824995812,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2016369014240924,0,0.0,0,0.0,0,0.0,exp1,5,150,1000.0,10
19,354.23399999999947,768.4709999999995,672.732,847.0049999999992,854.1989999999987,634.2240000000002,742.8060000000005,775.1369999999988,835.4790000000012,739.4369999999999,757.0650000000005,933.714,784.491,694.8510000000006,859.7400000000016,762.512999999999,740.2469999999994,747.3690000000006,903.246000000001,703.983000000002,778.4639999999999,4391.643000000002,4417.521000000001,0.0,16988.135999999995,237.95399999999967,195.73499999999967,488.2890000000007,19854.017999999993,69,10-05-26-170501,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,exp1,5,150,1000.0,10
20,357.0720000000001,664.7759999999998,854.5799999999999,644.8170000000009,723.9240000000009,751.4670000000006,805.271999999999,747.1050000000014,688.9379999999983,616.3110000000015,729.0,792.8999999999996,656.0280000000002,796.6620000000003,740.7119999999995,713.1779999999999,658.353000000001,670.2330000000002,805.5509999999958,814.8539999999994,666.8429999999989,4192.844999999999,4265.139000000001,0.0,16157.732999999998,205.6139999999996,167.3790000000008,619.2569999999996,19054.356000000003,70,10-05-26-170501,0,0.0,0,0.0,0,0.0,1,0.11576140783069366,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,exp1,5,150,1000.0,10
21,418.33500000000095,656.7960000000003,627.1740000000009,673.581000000002,859.4040000000023,636.5310000000009,680.6790000000001,790.9350000000013,814.3140000000021,738.018,723.6749999999993,733.7639999999974,761.3670000000002,709.3049999999967,670.9619999999995,850.0680000000029,756.914999999999,843.9749999999985,763.8690000000024,716.8860000000022,730.4700000000012,4268.324999999997,4312.272000000001,0.0,16460.286,208.3350000000009,238.38900000000007,518.7630000000008,19158.726,71,10-05-26-170501,0,0.0,0,0.0,0,0.0,1,0.2112165518021314,0,0.0,1,0.19961695125930712,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,exp1,5,150,1000.0,10
22,389.40599999999904,763.6949999999997,687.5550000000003,835.3499999999985,787.5839999999953,749.7569999999996,700.4099999999999,737.8679999999986,787.9709999999977,661.5539999999983,864.3750000000036,823.1880000000019,891.4590000000026,672.8760000000038,859.5119999999988,713.5019999999968,638.4420000000009,677.4180000000015,818.5920000000006,680.9909999999945,628.5930000000008,4165.488000000003,4159.002000000002,0.0,16539.68400000001,193.9679999999989,223.1850000000004,495.9599999999991,19412.510999999988,72,10-05-26-170501,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,exp1,5,150,1000.0,10
23,440.2469999999994,633.8189999999995,772.1999999999971,644.9609999999993,779.6700000000019,626.6549999999988,839.9310000000005,674.6310000000012,679.7790000000023,658.3500000000004,687.1049999999959,707.351999999999,771.8099999999977,808.0319999999956,713.9609999999993,747.7140000000036,622.2299999999996,714.4589999999989,667.8539999999994,792.0660000000025,647.5139999999992,3996.9330000000064,4065.0210000000006,0.0,16035.845999999983,241.7880000000005,281.2619999999997,595.6589999999997,18786.56100000001,73,10-05-26-170501,1,0.10716402795268398,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.45592037210777114,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,exp1,5,150,1000.0,10
24,377.0580000000009,729.2609999999986,622.9530000000013,661.6260000000002,864.4589999999989,627.018,688.0020000000004,852.7829999999994,896.367000000002,815.5169999999998,797.0190000000002,720.2400000000016,915.6749999999992,744.3810000000012,909.6900000000024,995.8619999999974,754.5330000000013,869.6460000000006,798.015000000003,668.2079999999987,709.5750000000007,4353.291000000001,4396.047000000002,0.0,17184.543000000016,263.1210000000001,289.27800000000025,492.8909999999996,20258.292000000005,74,10-05-26-170501,0,0.0,0,0.0,1,0.2668452905787144,0,0.0,0,0.0,1,0.47552221115529325,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,exp1,5,150,1000.0,10
0,363.867,765.3329999999999,719.562,765.075,843.3720000000001,632.6700000000001,690.087,850.797,835.422,629.1869999999999,795.2760000000002,775.167,828.4020000000002,720.8879999999999,804.144,733.8119999999999,738.477,695.7750000000001,994.41,681.873,732.288,4185.174,4210.626,0.0,16729.938,254.166,253.968,515.7929999999999,19012.743000000002,0,08-05-26-195705,1,1.0027820075301372,1,1.854711052212664,1,0.8974703018959647,0,0.0,1,2.5048748804676113,1,2.874880868273662,1,3.247794407575643,1,4.5160549020747665,1,1.0736585579391655,1,1.5919356374282443,0,0.0,0,0.0,1,2.036801620918477,1,1.0698230886439362,1,0.4764293284161125,0,0.0,1,2.9862003710992067,1,3.479874972304658,1,5.151441446410585,1,2.17828329052178,0,0.0,1,0.12014243038016648,0,0.0,0,0.0,1,1.4355186201261256,1,0.10887210222512078,0,0.0,0,0.0,0,0.0,exp1,5,190,1000.0,10
1,421.9049999999999,644.319,941.736,714.0899999999999,705.396,745.293,888.135,693.825,664.4159999999999,645.1920000000002,696.7709999999997,613.8810000000001,644.733,836.499,710.856,689.1120000000001,643.632,767.5229999999999,741.414,797.1089999999999,617.655,4044.8880000000004,4155.357,0.0,16161.414,304.101,264.0690000000001,575.5620000000001,18238.812,1,08-05-26-195705,1,0.7937034603448356,0,0.0,1,0.9134056809240834,0,0.0,0,0.0,0,0.0,1,1.2617064672465246,0,0.0,0,0.0,1,1.0927403028467495,0,0.0,1,1.8360568685822758,0,0.0,1,0.11031131988986598,0,0.0,1,1.347205378323923,0,0.0,1,1.4612709248709088,1,1.337690518643079,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.4020657087956572,1,0.23986771639657123,0,0.0,0,0.0,exp1,5,190,1000.0,10
2,357.74400000000014,731.5049999999999,703.8900000000003,806.511,684.8009999999999,624.828,679.3980000000001,909.9,683.316,809.1959999999995,710.6130000000003,661.008,721.1070000000002,666.7650000000001,808.443,832.8209999999997,791.0159999999998,871.7640000000001,681.9960000000001,696.5939999999998,871.404,4488.611999999999,4528.443,0.0,16453.635000000002,232.53300000000013,137.2739999999999,472.731,18656.334,2,08-05-26-195705,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3054619544973092,0,0.0,1,2.5285715965507034,1,0.5105236069096095,0,0.0,0,0.0,1,2.3584801401746125,1,0.1059449816377529,0,0.0,0,0.0,0,0.0,1,2.0444427659323274,0,0.0,0,0.0,1,0.20089322635344242,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,exp1,5,190,1000.0,10
3,381.1500000000001,771.6630000000005,690.1619999999998,895.7790000000005,823.5360000000001,743.9969999999998,751.2599999999998,645.8249999999998,835.404,659.5170000000007,799.0410000000002,890.2379999999998,808.6469999999995,811.2959999999998,859.0709999999999,753.4860000000003,596.1570000000002,828.0030000000002,810.2370000000001,696.219,719.6790000000001,4140.438,4203.281999999999,0.0,16924.233,233.64599999999984,153.76200000000006,484.9169999999999,18922.842,3,08-05-26-195705,0,0.0,0,0.0,0,0.0,1,1.697758057341679,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5315271417782514,0,0.0,1,0.10742670866475534,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,exp1,5,190,1000.0,10
4,429.0419999999999,636.0569999999998,816.2070000000003,651.2759999999998,776.5769999999998,640.7579999999998,832.5330000000008,740.0189999999998,713.1509999999998,635.4569999999994,675.6179999999995,755.895,679.5900000000001,726.1620000000003,671.9910000000004,656.1390000000001,586.857,732.6930000000002,636.9929999999999,835.2150000000001,652.317,3932.7000000000007,3985.074,0.0,15872.229,201.68100000000004,217.81799999999987,606.846,17434.788,4,08-05-26-195705,1,0.3848692501737032,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0850601836309226,exp1,5,190,1000.0,10
5,369.1169999999997,759.855,743.0789999999997,793.2660000000005,919.0770000000002,645.5550000000007,754.8509999999997,817.0799999999999,790.110000000001,773.19,820.9200000000005,838.2719999999995,792.2969999999996,696.5429999999997,876.0299999999997,913.9980000000004,754.5270000000005,914.387999999999,789.9089999999997,670.5479999999998,805.1280000000006,4380.119999999999,4526.093999999999,0.0,17347.833,166.92599999999993,214.5,474.837,19614.378,5,08-05-26-195705,0,0.0,1,0.10075141925763176,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1354682846684736,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,exp1,5,190,1000.0,10
6,339.2159999999999,744.174,849.0029999999997,677.5319999999992,709.8690000000006,758.7089999999998,777.8369999999995,694.4070000000002,697.5839999999989,708.4050000000007,733.0529999999999,689.8740000000007,699.036000000001,852.915,708.7919999999995,680.0609999999997,654.0929999999998,682.0050000000001,731.031,829.5990000000002,648.1259999999993,4268.196000000001,4363.818000000001,0.0,16088.333999999999,254.14200000000005,238.98900000000023,583.596,18821.430000000004,6,08-05-26-195705,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.12163288292487384,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.13212842203177444,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,exp1,5,190,1000.0,10
7,413.4210000000003,713.2860000000001,661.3200000000006,666.4230000000007,857.5409999999993,621.5550000000003,724.9350000000004,799.0320000000002,882.732,817.1969999999992,725.6009999999997,697.281,692.232,694.5420000000004,710.6970000000001,807.8789999999999,785.3309999999992,886.5060000000003,803.2860000000001,681.6600000000008,776.8320000000003,4370.558999999999,4485.152999999999,0.0,16667.409000000003,318.5640000000001,274.37099999999987,476.9520000000002,19510.388999999996,7,08-05-26-195705,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.12299125172050052,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,exp1,5,190,1000.0,10
