round,api-gateway_energy,client1_energy,client10_energy,client11_energy,client12_energy,client13_energy,client14_energy,client15_energy,client16_energy,client17_energy,client18_energy,client19_energy,client2_energy,client20_energy,client3_energy,client4_energy,client5_energy,client6_energy,client7_energy,client8_energy,client9_energy,hfl-train_energy,hfl-train-model_energy,linkerd-init_energy,linkerd-proxy_energy,orchestrator_energy,policy-enforcer_energy,server_energy,sidecar_energy,timestamp,api-gateway_energy_Anomaly,api-gateway_energy_Anomaly_Score,client1_energy_Anomaly,client1_energy_Anomaly_Score,client10_energy_Anomaly,client10_energy_Anomaly_Score,client11_energy_Anomaly,client11_energy_Anomaly_Score,client12_energy_Anomaly,client12_energy_Anomaly_Score,client13_energy_Anomaly,client13_energy_Anomaly_Score,client14_energy_Anomaly,client14_energy_Anomaly_Score,client15_energy_Anomaly,client15_energy_Anomaly_Score,client16_energy_Anomaly,client16_energy_Anomaly_Score,client17_energy_Anomaly,client17_energy_Anomaly_Score,client18_energy_Anomaly,client18_energy_Anomaly_Score,client19_energy_Anomaly,client19_energy_Anomaly_Score,client2_energy_Anomaly,client2_energy_Anomaly_Score,client20_energy_Anomaly,client20_energy_Anomaly_Score,client3_energy_Anomaly,client3_energy_Anomaly_Score,client4_energy_Anomaly,client4_energy_Anomaly_Score,client5_energy_Anomaly,client5_energy_Anomaly_Score,client6_energy_Anomaly,client6_energy_Anomaly_Score,client7_energy_Anomaly,client7_energy_Anomaly_Score,client8_energy_Anomaly,client8_energy_Anomaly_Score,client9_energy_Anomaly,client9_energy_Anomaly_Score,hfl-train_energy_Anomaly,hfl-train_energy_Anomaly_Score,hfl-train-model_energy_Anomaly,hfl-train-model_energy_Anomaly_Score,linkerd-init_energy_Anomaly,linkerd-init_energy_Anomaly_Score,linkerd-proxy_energy_Anomaly,linkerd-proxy_energy_Anomaly_Score,orchestrator_energy_Anomaly,orchestrator_energy_Anomaly_Score,policy-enforcer_energy_Anomaly,policy-enforcer_energy_Anomaly_Score,server_energy_Anomaly,server_energy_Anomaly_Score,sidecar_energy_Anomaly,sidecar_energy_Anomaly_Score,exp,K,Z,sigma_ed,sigma_iid
10,436.6769999999997,801.7889999999998,862.0020000000004,936.3899999999994,816.4830000000002,698.0519999999988,854.8740000000016,818.9309999999987,890.6010000000006,741.9930000000004,853.4189999999999,797.8799999999992,921.6090000000004,646.0620000000008,860.5229999999992,868.4490000000005,731.4959999999992,944.3339999999988,903.6540000000005,828.5849999999991,805.1490000000003,7083.408,4548.198000000006,0.0,18342.245999999992,235.71599999999944,309.7199999999998,529.7040000000006,20960.634000000002,08-05-26-123027,0,0.002547921867324332,0,0.00936765813498211,0,0.0002619805126883312,0,0.0027187341879424953,0,0.009515826118373039,0,0.000574113186469466,0,0.005167015938293135,0,0.002934030804826293,0,0.002105112439784701,0,0.008324436655464035,1,0.017739786679586422,0,0.0023280016263680925,0,0.0022492017999748426,0,0.005001544889975951,0,0.0034767133727031385,0,0.0008897381112245584,0,0.004847637441719371,0,0.011846929232442988,0,0.0026419073850896813,0,0.0019869273595315706,0,0.0009820211835624426,0,0.0007621554596347613,0,0.0006287881986613564,0,0.0,0,0.0011395045420302674,0,0.011854631298378965,0,0.023383091416150054,0,0.0029042102356893196,0,0.00013670453659453408,exp1,5,15,1000.0,10
11,399.77400000000034,609.9840000000004,914.1060000000016,744.1560000000009,835.0320000000011,638.5500000000011,900.7979999999988,839.5410000000011,848.2109999999993,769.0080000000016,846.3119999999999,709.1489999999994,840.4439999999995,791.5859999999993,809.8410000000003,816.1829999999991,722.9700000000012,848.1599999999999,878.3309999999983,801.6990000000005,877.9169999999995,6920.732999999999,4517.2229999999945,0.0,17839.227000000006,290.8560000000007,215.05199999999968,627.6809999999996,20342.646,08-05-26-123027,0,0.0020420629000608703,0,0.0014361943080288542,0,0.00042018260249471195,0,0.0017469074679067331,0,0.0017529688768492535,0,0.007086644313108431,0,0.008332281267164093,0,0.0019709147245030034,0,0.005343890099537535,0,0.007954348595701849,0,0.011599654904476064,0,0.005433949925728793,0,0.004165129409283236,0,0.004631158995980711,0,0.0013250143026285188,0,0.00190312948654206,0,0.0010236818510526435,0,0.013146411984505058,0,0.004277031844064028,0,0.004892022904013915,0,0.012827320407431148,0,0.0008071949799758338,0,0.0008268710765872711,0,0.0,0,0.001848373063830816,0,0.009412911460336432,0,0.004077098794983941,0,0.005524016667417531,0,0.0016154691929781695,exp1,5,15,1000.0,10
12,412.9349999999995,774.1800000000003,801.248999999998,848.1629999999986,728.7779999999984,785.5559999999987,854.0580000000009,794.8830000000016,725.616,822.2339999999986,689.9309999999987,905.5860000000011,679.3140000000003,853.6440000000002,723.357,808.7129999999997,656.3520000000008,911.964,794.3760000000002,844.8270000000011,641.5559999999987,7102.118999999994,4506.759000000002,0.0,17384.856,202.92599999999948,275.2890000000002,566.4989999999998,20317.742999999995,08-05-26-123027,0,0.002351748022707628,0,0.003495791447341162,0,0.00012420392936718372,0,0.0048486216283446515,0,0.0067127647746845764,0,0.006856594261503313,0,0.003390383140797759,0,0.002945285295472444,0,0.0005613165166882261,0,0.0031335537592847296,0,0.0019924584396239786,0,0.005304165329352212,0,0.00384382849984094,0,0.006247262241315471,0,0.004638351858699485,0,0.004592886914997096,0,0.002013695292013229,1,0.01948441397863937,0,0.003925889557437889,0,0.0030614994079184443,0,0.006819556648117064,0,0.002233491711922414,0,0.0012166057873274072,0,0.0,0,0.0011217416801466984,0,0.0011654080258696742,0,0.015296461052115351,0,0.0027110980274597796,0,0.0027417935030235596,exp1,5,15,1000.0,10
13,420.3900000000003,798.2070000000003,939.3540000000012,818.607,786.4170000000013,780.4050000000007,835.1610000000001,722.9099999999999,839.6280000000006,604.6020000000008,927.4080000000012,904.2300000000014,849.0,811.0650000000005,786.723,719.0220000000008,780.7259999999987,654.9390000000003,925.8060000000004,838.5360000000001,763.0650000000005,7073.085000000004,4592.2919999999995,0.0,17875.974,286.23,209.99699999999984,590.4150000000009,20604.903,08-05-26-123027,0,0.003250254181257378,0,0.004810773581914091,0,0.002502858967317362,0,0.004814522445185515,0,0.008928453348534676,0,0.004011567195725901,0,0.0029322034344014813,0,0.001577678349345385,0,0.0010843328392745044,0,0.004212774332634617,0,0.0003091538374931646,0,0.0030860546943776435,0,0.00014216858298018997,0,0.0038631053506299473,0,0.007927527564374648,0,0.002559838556864924,0,0.00011155371141355341,0,0.006461754970505801,0,0.010701888371814128,0,0.006267107210415734,0,0.0050353581599663355,0,0.0012541282157342015,0,0.0007984450280999478,0,0.0,0,4.827599649850911e-05,0,0.004023169846328112,0,0.003698985823118256,0,0.00039333889578277437,0,0.002105805918017345,exp1,5,15,1000.0,10
14,325.21200000000044,757.1789999999983,732.6479999999992,874.617000000002,877.902,820.8120000000017,856.9409999999989,818.3639999999996,814.9079999999994,763.9439999999995,954.3269999999992,871.8809999999976,856.2029999999995,794.378999999999,843.0660000000007,839.4359999999997,722.5290000000005,830.9279999999999,876.1919999999991,754.6709999999985,783.4709999999995,7104.617999999997,4652.756999999996,0.0,18009.557999999997,191.067,258.6750000000002,570.1139999999996,21000.33000000001,08-05-26-123027,0,0.0006953858629872578,0,0.0012821681060646295,0,0.004157111726570212,0,0.005154494215742433,0,0.005046013261748472,0,0.0010915656005952012,0,0.006311746152641767,0,0.0014113205803250317,0,0.0014767735947807947,0,0.0022495452918011027,0,0.005399113736725164,0,0.0004973784091149847,0,0.0029735273195941325,0,0.0003181593764330637,0,0.0069735659353521995,0,0.003141395291794885,0,0.004002024359807815,0,0.003682103369436557,1,0.01238719679470146,0,0.004707202835239621,0,0.0014199962737450333,0,0.0003946169083114959,0,0.0012706734553123988,0,0.0,0,0.0003231922040030366,0,0.010516674757218347,0,0.002748307521556498,0,0.001594726529964119,0,0.0023638528086106225,exp1,5,15,1000.0,10
15,404.6760000000004,702.4650000000001,839.277,937.9109999999982,797.3369999999995,751.985999999999,674.6040000000012,883.4609999999993,804.5849999999991,814.7999999999993,795.2309999999998,823.7880000000005,805.1400000000012,846.6930000000011,797.0279999999984,834.1499999999996,729.905999999999,798.0059999999994,792.2040000000015,661.4520000000011,761.1509999999998,7034.214000000002,4655.775000000005,0.0,17664.621000000006,272.2979999999998,227.32499999999936,615.869999999999,20350.481999999993,08-05-26-123027,0,0.0038901742607371503,0,0.006555475823050966,0,0.0030655642830736685,0,0.005228375779253891,0,0.005968181285637336,0,0.001788545700071864,0,0.00232981648306288,0,0.0017950912580518563,0,0.005621179245563768,0,0.0016386222936394246,0,0.0026026923055698925,0,0.0017372232921985253,0,0.0027265180140678136,0,0.010626231549847737,0,0.010017527623616934,0,0.004806543839366739,0,0.004088211847002643,0,0.0034252716826577434,0,0.006983329376242492,0,0.012713820915711438,0,0.0008683338554389686,0,0.0006728980140209284,0,0.00033378956495713763,0,0.0,0,0.0011942761878057928,0,0.004784227374643846,0,0.010393663067095188,0,0.00433109488538469,0,0.0011678315512004545,exp1,5,15,1000.0,10
16,400.77599999999984,684.9419999999991,824.3940000000002,856.7759999999998,838.491,743.9249999999993,838.5720000000001,808.7880000000005,815.4390000000003,778.8150000000005,854.889000000001,809.4360000000015,807.1919999999991,702.0449999999983,814.4160000000011,830.2440000000006,752.3820000000014,897.4709999999995,835.875,853.1280000000006,778.8330000000005,6993.318000000005,4453.974,0.0,17829.47699999999,192.08700000000044,241.45500000000084,490.1250000000018,20666.316000000006,08-05-26-123027,0,0.003790140575085338,0,0.002575807265100677,0,0.001243562416638616,1,0.010698817385213055,0,0.005801578381916944,0,0.007415640451208155,0,0.005312730315477299,0,0.00026701465390488455,0,0.007200193173059283,0,0.002162352972151227,0,0.003014889092107037,0,0.006536525584532743,0,0.004353885875343605,0,0.006025770551897597,0,0.009798201303059195,0,0.004123910126214464,0,0.002493905951798714,0,0.0010301608959742692,0,0.004924768630454379,0,0.0102500802944063,0,0.006021679519334161,0,0.0002622984681835694,0,0.0008846226350471831,0,0.0,0,0.0012161102653857891,0,0.02026145922444697,0,0.006182394792901558,0,0.005128927520317378,0,0.001802290178535837,exp1,5,15,1000.0,10
17,411.6210000000001,722.5020000000004,846.1530000000021,798.8999999999996,854.5949999999993,638.9580000000005,822.7739999999994,859.0259999999998,836.9040000000005,701.9220000000005,855.4110000000001,868.6229999999978,860.5709999999999,811.5150000000012,835.0470000000005,854.0879999999997,761.3130000000001,832.9230000000007,830.0609999999997,772.6979999999985,746.835000000001,6881.5650000000005,4447.157999999999,0.0,17912.006999999998,302.6580000000004,244.9890000000005,570.9509999999991,20706.539999999994,08-05-26-123027,0,0.003921322474233546,0,0.005319494553152115,0,0.000913306511976214,0,0.008305899920869553,0,0.00025840356008785537,0,0.000412789786771256,0,0.006812384420405437,0,0.003454196965217482,0,0.0018381370897221083,0,0.0042627602523947206,0,0.010967590996753651,0,0.004767636190777191,0,0.004516913367747399,0,0.003861255733181773,0,0.004443762670689938,0,0.0019210437060252217,0,0.0031956065283622326,0,0.004869303312275891,0,0.006655024429715967,0,0.013705468252059094,0,0.0005461327292445306,0,0.0015099305165766908,0,0.0014036854156514456,0,0.0,0,3.561223150214121e-05,0,0.0046333240115302154,0,0.011015233057797974,0,0.00482275389103054,0,0.0025644108907801333,exp1,5,15,1000.0,10
18,444.0569999999989,631.0470000000005,877.3019999999997,674.9340000000011,854.4000000000015,764.2530000000006,830.1419999999998,788.0909999999985,674.4419999999991,819.8849999999984,644.2259999999987,707.880000000001,711.6689999999999,796.8720000000012,707.3340000000007,846.5190000000002,734.2919999999995,898.0380000000023,635.8289999999997,810.5640000000003,723.0929999999989,7032.329999999998,4469.340000000002,0.0,16958.190000000002,226.4129999999996,178.8809999999994,566.3729999999996,19678.302000000003,08-05-26-123027,0,0.0015585507793007547,1,0.014194349754024338,0,0.0020672304281270926,0,0.0013270794906354022,0,0.0035328080711103105,0,0.0012753172783048772,0,0.007052979099878481,0,0.006692956147570511,0,0.009797095793105559,0,0.0072341615037055385,0,0.0026416791915569726,0,0.0046288260136940484,0,0.0022041276450296687,0,0.0031320440542425,0,0.008249685569652748,0,0.004268683235569559,0,0.0006786066664726531,0,0.006938387408495922,0,0.007405067651060082,0,0.015045485609175624,0,0.002625071133802559,0,0.0017404738036277678,0,0.0024744695803609607,0,0.0,0,0.002090890904083348,0,0.01400672637016176,0,0.015978223006660047,1,0.00647617401576453,0,0.0007480856257027768,exp1,5,15,1000.0,10
19,431.64600000000064,830.8230000000003,818.8979999999974,835.1759999999995,719.4539999999997,754.0169999999998,840.7620000000006,730.355999999998,950.2530000000024,681.5580000000009,856.0409999999993,913.5480000000008,771.3060000000005,797.0639999999985,866.0609999999997,741.4169999999976,569.5950000000012,671.6579999999994,846.2040000000015,833.0969999999979,667.9110000000001,6735.830999999998,4431.620999999997,0.0,17525.808000000008,330.83399999999983,251.5079999999998,600.3779999999988,20083.31399999999,08-05-26-123027,0,0.009067183051708338,0,0.010284444056410963,0,0.0020756064036253075,0,0.0005887408554900719,0,0.004098847577544251,0,0.004842214492085828,0,0.007828548201132435,0,0.0023199530006329516,0,0.0032759301633945304,0,0.00283443929713062,0,0.007365145830426273,0,0.0026348235147190813,0,0.006359025074318986,0,0.003269994688918143,0,0.007147301145341484,0,0.0004899451642217945,0,0.007611328658466504,0,0.0007976004034544182,0,0.008859093457652595,0,0.011288435657465984,0,0.008635331366733556,0,0.0038266317523875104,0,0.004400334365376346,0,0.0,0,0.0031741970609363013,0,0.007894945854437313,0,0.017121356730901427,0,0.0043948535492914775,0,0.0010494511018425412,exp1,5,15,1000.0,10
