Unnamed: 0,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration,K,timestamp
4,0.52470036877689,1027.9986069072038,25091.934631112963,162087289030,10,03-03-26-193721
5,0.5507836508912108,1146.9857799820602,25304.31944457814,163744520303,10,03-03-26-193721
6,0.571181622618316,1058.2280091475695,24202.719532651827,162358155487,10,03-03-26-193721
7,0.5689151813153043,1195.5409192014486,25324.397315038368,161066746086,10,03-03-26-193721
8,0.3636677934849416,1021.0081150289624,25123.594970442355,162159235377,10,03-03-26-193721
9,0.2948678549477566,1131.8263879511503,24846.27728466876,163101803333,10,03-03-26-193721
10,0.3255224339274739,1234.3980381265285,25447.806569980457,163571041386,10,03-03-26-193721
11,0.4184849416103257,1135.259650181979,24758.341911947355,162142642130,10,03-03-26-193721
12,0.5718730792870313,1068.5107761528343,25309.20165660791,162529989673,10,03-03-26-193721
13,0.593000921942225,1025.048553943634,25586.38896024786,162498938652,10,03-03-26-193721
14,0.6141287645974186,1206.2419611029327,24081.836331402883,161602955517,10,03-03-26-193721
15,0.6287645974185617,1079.2288770899177,24995.316486107185,163014371706,10,03-03-26-193721
16,0.6377919483712354,1108.5671819746494,24907.7699650079,163698078868,10,03-03-26-193721
17,0.6443223724646588,1202.897114912048,25118.83925460279,161547508533,10,03-03-26-193721
18,0.6566149354640443,1080.6210939772427,24673.439644509926,163665160010,10,03-03-26-193721
19,0.6642977873386601,1134.5772240310907,25029.170587891716,163104886885,10,03-03-26-193721
20,0.6818915181315304,1090.9490510821342,25194.66238282621,162802812107,10,03-03-26-193721
21,0.6900353411186232,1103.618202963844,24314.85038739629,161837392788,10,03-03-26-193721
22,0.6874231714812539,954.7864028718324,25157.841906882823,161414307945,10,03-03-26-193721
23,0.6911493546404426,1050.4703789483756,24834.343147231262,160861078435,10,03-03-26-193721
24,0.686539643515673,1015.15334402211,25324.67078906484,162980334158,10,03-03-26-193721
