,round,namespace,pod_name,container_name,joules
266,2,client12,client12-79bc8d5846-bcn9p,linkerd-proxy,861.8490000000002
267,2,client12,client12-79bc8d5846-bcn9p,linkerd-init,0.0
268,2,client16,client16-6dc7f87f54-zmq4w,client16,695.2170000000001
269,2,client16,client16-6dc7f87f54-zmq4w,sidecar,692.973
270,2,client16,client16-6dc7f87f54-zmq4w,linkerd-proxy,695.442
271,2,client16,client16-6dc7f87f54-zmq4w,linkerd-init,0.0
272,2,client2,client2-86cd6d8cf7-m8tdw,client2,701.2170000000001
273,2,client2,client2-86cd6d8cf7-m8tdw,linkerd-proxy,701.1659999999999
274,2,client2,client2-86cd6d8cf7-m8tdw,linkerd-init,0.0
275,2,client2,client2-86cd6d8cf7-m8tdw,sidecar,699.7650000000001
276,2,client3,client3-58c68898cd-mnfzb,client3,674.7990000000002
277,2,client3,client3-58c68898cd-mnfzb,linkerd-init,0.0
278,2,client3,client3-58c68898cd-mnfzb,sidecar,672.8520000000001
279,2,client3,client3-58c68898cd-mnfzb,linkerd-proxy,674.6160000000002
280,2,client18,client18-69db77c748-s7vbm,client18,718.9409999999998
281,2,client18,client18-69db77c748-s7vbm,linkerd-proxy,718.6289999999999
282,2,client18,client18-69db77c748-s7vbm,sidecar,717.654
283,2,client18,client18-69db77c748-s7vbm,linkerd-init,0.0
284,2,client7,client7-544486cc98-m7xsp,linkerd-proxy,703.4639999999999
285,2,client7,client7-544486cc98-m7xsp,sidecar,702.4679999999996
286,2,client7,client7-544486cc98-m7xsp,client7,703.752
287,2,client7,client7-544486cc98-m7xsp,linkerd-init,0.0
288,2,client11,client11-565c48c7c7-47bw9,client11,687.3389999999999
289,2,client11,client11-565c48c7c7-47bw9,sidecar,685.6799999999998
290,2,client11,client11-565c48c7c7-47bw9,linkerd-proxy,687.1109999999999
291,2,client11,client11-565c48c7c7-47bw9,linkerd-init,0.0
292,2,client19,client19-56fccdb4d9-tbsjx,sidecar,675.4230000000002
293,2,client19,client19-56fccdb4d9-tbsjx,client19,676.9950000000001
294,2,client19,client19-56fccdb4d9-tbsjx,linkerd-init,0.0
295,2,client19,client19-56fccdb4d9-tbsjx,linkerd-proxy,676.8149999999998
296,2,client1,client1-7b9db886dd-2knc6,linkerd-init,0.0
297,2,client1,client1-7b9db886dd-2knc6,linkerd-proxy,644.8859999999997
298,2,client13,client13-7bf86f4f87-llhzl,sidecar,646.9620000000002
299,2,client13,client13-7bf86f4f87-llhzl,client13,697.7909999999997
300,2,client13,client13-7bf86f4f87-llhzl,linkerd-init,0.0
301,2,client13,client13-7bf86f4f87-llhzl,linkerd-proxy,693.5550000000001
302,2,client20,client20-65f8864f77-fbnnk,client20,638.781
303,2,client20,client20-65f8864f77-fbnnk,sidecar,637.2869999999998
304,2,client20,client20-65f8864f77-fbnnk,linkerd-init,0.0
305,2,client20,client20-65f8864f77-fbnnk,linkerd-proxy,638.6009999999999
306,2,server,server-656f98b57f-pgrjb,linkerd-init,0.0
307,2,server,server-656f98b57f-pgrjb,server,521.7839999999999
308,2,server,server-656f98b57f-pgrjb,sidecar,427.58400000000006
309,2,server,server-656f98b57f-pgrjb,linkerd-proxy,504.4799999999998
310,2,client14,client14-856b5b5576-4xnjh,client14,841.0830000000003
311,2,client14,client14-856b5b5576-4xnjh,sidecar,839.046
312,2,client14,client14-856b5b5576-4xnjh,linkerd-proxy,840.867
313,2,client10,client10-694b6b97b4-bwjx6,sidecar,817.038
314,2,client10,client10-694b6b97b4-bwjx6,client10,820.0409999999997
315,2,client10,client10-694b6b97b4-bwjx6,linkerd-proxy,820.221
316,2,orchestrator,policy-enforcer-cb8dccbd8-5w5g5,sidecar,382.85400000000004
317,2,api-gateway,api-gateway-6bf76d45b7-t68sl,api-gateway,417.0300000000002
318,2,orchestrator,orchestrator-555f7b7c9d-f5qqb,orchestrator,309.5039999999999
319,2,orchestrator,policy-enforcer-cb8dccbd8-5w5g5,policy-enforcer,317.8499999999999
320,2,api-gateway,api-gateway-6bf76d45b7-t68sl,sidecar,315.5909999999999
321,2,orchestrator,orchestrator-555f7b7c9d-f5qqb,sidecar,355.25699999999983
322,2,client1,client1-7b9db886dd-2knc6,sidecar,615.924
323,2,client1,client1-7b9db886dd-2knc6,client1,646.5419999999999
324,2,client17,maurits-dijk-607b104eclient171-xjlhd,hfl-train-model,796.5299999999997
325,2,client17,maurits-dijk-607b104eclient171-xjlhd,hfl-train,879.2369999999999
326,2,client17,maurits-dijk-607b104eclient171-xjlhd,sidecar,681.1469999999997
327,2,client9,maurits-dijk-607b104eclient91-8f6cj,hfl-train-model,808.5810000000001
328,2,client9,maurits-dijk-607b104eclient91-8f6cj,hfl-train,892.1490000000003
