Round,ClientID,ClientAccuracy,ClientTrainingTime,K,timestamp
19,client9,0.759404924760602,2291.6219839826226,5,05-03-26-182241
20,client5,0.7726495726495727,2482.781974831596,5,05-03-26-182241
20,client17,0.7495339772919845,2273.334121098742,5,05-03-26-182241
20,client13,0.7332220367278798,2880.7175690308213,5,05-03-26-182241
20,client1,0.7643952299829643,2413.3572429418564,5,05-03-26-182241
20,client9,0.7364911080711354,2263.7847729492933,5,05-03-26-182241
21,client5,0.7755555555555556,2648.2709909323603,5,05-03-26-182241
21,client17,0.768852736824267,2197.139699012041,5,05-03-26-182241
21,client13,0.7632721202003339,2922.901875106618,5,05-03-26-182241
21,client1,0.7538330494037478,2295.762956142425,5,05-03-26-182241
21,client9,0.7332421340629275,2281.6578620113432,5,05-03-26-182241
22,client5,0.7552136752136752,2446.1276850197464,5,05-03-26-182241
22,client17,0.7230977800372819,2221.0494510363787,5,05-03-26-182241
22,client13,0.7621035058430717,2997.1121691633016,5,05-03-26-182241
22,client1,0.7553662691652471,2720.549755031243,5,05-03-26-182241
22,client9,0.7508549931600548,2564.489046810195,5,05-03-26-182241
23,client5,0.7786324786324786,2522.073514992371,5,05-03-26-182241
23,client17,0.7751228605321132,2195.917857112363,5,05-03-26-182241
23,client13,0.7751252086811352,2935.980711132288,5,05-03-26-182241
23,client1,0.7804088586030664,2285.3604019619524,5,05-03-26-182241
23,client9,0.7616279069767442,2522.8282681200653,5,05-03-26-182241
24,client5,0.7413675213675214,2448.891964973882,5,05-03-26-182241
24,client17,0.7729198440942213,2383.2394229248166,5,05-03-26-182241
24,client13,0.7898163606010017,2910.362445982173,5,05-03-26-182241
24,client1,0.7400340715502556,2488.355878042057,5,05-03-26-182241
24,client9,0.771374829001368,2346.835436997935,5,05-03-26-182241
0,client5,0.1705037611123774,1892.1496800612656,5,05-03-26-193309
0,client17,0.1749609462173622,2048.328472999856,5,05-03-26-193309
0,client13,0.1891645800136581,2258.4120049141347,5,05-03-26-193309
0,client1,0.1944696282864914,2051.060577156022,5,05-03-26-193309
0,client9,0.1329029385574354,1847.8789229411632,5,05-03-26-193309
1,client5,0.2511967175746524,1940.0266730226576,5,05-03-26-193309
1,client17,0.1986163802722606,1789.692796068266,5,05-03-26-193309
1,client13,0.2292283177782836,2172.6432689465582,5,05-03-26-193309
1,client1,0.2583862194016319,1845.553133869544,5,05-03-26-193309
1,client9,0.2575690115761354,2140.202279901132,5,05-03-26-193309
2,client5,0.3567358103487577,1941.6128559969368,5,05-03-26-193309
