round,namespace,pod_name,container_name,joules,exp,K,Z,sigma_ed,sigma_iid,timestamp,dbscan_label,zscore
6,client12,client12-79bc8d5846-zntmd,sidecar,925.7039999999996,exp1,5,120,1000.0,10,10-05-26-155156,-1,2.5522723562797793
18,client13,client13-7bf86f4f87-96bfp,sidecar,808.4459999999999,exp1,5,120,1000.0,10,09-05-26-191151,-1,2.5365228400827373
9,client18,client18-69db77c748-zbcgp,client18,964.335,exp1,5,120,1000.0,10,10-05-26-155156,-1,2.5456796673597704
9,client18,client18-69db77c748-zbcgp,linkerd-proxy,964.0649999999988,exp1,5,120,1000.0,10,10-05-26-155156,-1,2.5457227097090933
9,client18,client18-69db77c748-zbcgp,sidecar,962.5470000000004,exp1,5,120,1000.0,10,10-05-26-155156,-1,2.54856862632227
8,client2,client2-86cd6d8cf7-xhtfk,client2,1004.4089999999997,exp1,5,120,1000.0,10,09-05-26-191151,-1,2.652153652247407
8,client2,client2-86cd6d8cf7-xhtfk,linkerd-proxy,1004.2019999999992,exp1,5,120,1000.0,10,09-05-26-191151,-1,2.651795625095324
8,client2,client2-86cd6d8cf7-xhtfk,sidecar,1002.6899999999996,exp1,5,120,1000.0,10,09-05-26-191151,-1,2.654678131546456
14,client20,client20-65f8864f77-mn5x6,client20,1022.625,exp1,5,120,1000.0,10,10-05-26-155156,-1,2.6549500522307987
14,client20,client20-65f8864f77-mn5x6,linkerd-proxy,1022.469000000001,exp1,5,120,1000.0,10,10-05-26-155156,-1,2.6551932659152615
14,client20,client20-65f8864f77-mn5x6,sidecar,1020.9510000000008,exp1,5,120,1000.0,10,10-05-26-155156,-1,2.6566786178282804
8,client5,maurits-dijk-38de2afcclient51-2z96k,hfl-train-model,878.1750000000002,exp1,5,120,1000.0,10,09-05-26-191151,-1,2.503688285352263
21,client9,client9-d68fb99b4-qdtjk,sidecar,821.7450000000008,exp1,5,120,1000.0,10,08-05-26-173133,-1,2.5409590656322942
