round,namespace,pod_name,container_name,joules
1,client18,client18-69db77c748-ggr7s,sidecar,782.5380000000587
1,client7,client7-544486cc98-xbnlj,sidecar,787.433999999892
1,client7,client7-544486cc98-xbnlj,linkerd-proxy,788.4989999999525
1,client7,client7-544486cc98-xbnlj,client7,788.810999999987
1,client7,client7-544486cc98-xbnlj,linkerd-init,0.0
1,client11,client11-565c48c7c7-bhp5f,linkerd-proxy,783.2459999999264
1,client11,client11-565c48c7c7-bhp5f,client11,783.597000000067
1,client11,client11-565c48c7c7-bhp5f,sidecar,781.8210000001127
1,client11,client11-565c48c7c7-bhp5f,linkerd-init,0.0
1,client19,client19-56fccdb4d9-2l2q6,sidecar,705.1049999999814
1,client19,client19-56fccdb4d9-2l2q6,client19,706.5719999999274
1,client19,client19-56fccdb4d9-2l2q6,linkerd-proxy,706.4159999999683
1,client19,client19-56fccdb4d9-2l2q6,linkerd-init,0.0
1,client1,client1-7b9db886dd-8vd8t,linkerd-init,0.0
1,client1,client1-7b9db886dd-8vd8t,sidecar,711.6000000000931
1,client1,client1-7b9db886dd-8vd8t,client1,713.7780000000494
1,client1,client1-7b9db886dd-8vd8t,linkerd-proxy,713.673000000068
1,client13,client13-7bf86f4f87-bmwmr,linkerd-proxy,682.923000000068
1,client13,client13-7bf86f4f87-bmwmr,linkerd-init,0.0
1,client13,client13-7bf86f4f87-bmwmr,sidecar,681.564000000013
1,client13,client13-7bf86f4f87-bmwmr,client13,683.1509999999544
1,client20,client20-65f8864f77-l5kdx,sidecar,645.6210000000428
1,client20,client20-65f8864f77-l5kdx,client20,647.1690000001108
1,client20,client20-65f8864f77-l5kdx,linkerd-proxy,646.9529999999795
1,server,server-656f98b57f-rlwxb,sidecar,634.505999999994
1,server,server-656f98b57f-rlwxb,server,637.0949999999721
1,orchestrator,policy-enforcer-cb8dccbd8-z7pmg,sidecar,408.8099999999977
1,orchestrator,orchestrator-555f7b7c9d-vv2z2,orchestrator,132.54299999997602
1,api-gateway,api-gateway-6bf76d45b7-k9j8g,sidecar,408.77700000000186
1,orchestrator,orchestrator-555f7b7c9d-vv2z2,sidecar,408.8070000000298
1,api-gateway,api-gateway-6bf76d45b7-k9j8g,api-gateway,174.30000000001746
1,orchestrator,policy-enforcer-cb8dccbd8-z7pmg,policy-enforcer,187.4639999999781
1,client17,client17-69b85b5ccf-vqwrf,client17,702.0479999999516
1,client17,client17-69b85b5ccf-vqwrf,sidecar,700.7460000000428
1,client15,client15-79c969ddf-jsj98,client15,682.890000000014
1,client15,client15-79c969ddf-jsj98,sidecar,681.6209999999264
1,client5,client5-7d5ff7f8b4-vtj9q,sidecar,705.9510000000009
1,client5,client5-7d5ff7f8b4-vtj9q,client5,707.3700000001118
1,client17,maurits-dijk-a51e0be5client171-4w5xg,hfl-train,0.0
1,client17,maurits-dijk-a51e0be5client171-4w5xg,sidecar,0.0
1,client17,maurits-dijk-a51e0be5client171-4w5xg,hfl-train-model,0.0
1,client9,maurits-dijk-a51e0be5client91-hvvmg,sidecar,0.0
1,client9,maurits-dijk-a51e0be5client91-hvvmg,hfl-train,0.0
1,client9,maurits-dijk-a51e0be5client91-hvvmg,hfl-train-model,0.0
1,client5,maurits-dijk-a51e0be5client51-55jvj,hfl-train,0.0
1,client5,maurits-dijk-a51e0be5client51-55jvj,sidecar,0.0
1,client5,maurits-dijk-a51e0be5client51-55jvj,hfl-train-model,0.0
1,client1,maurits-dijk-a51e0be5client11-jfcr5,sidecar,0.0
1,client1,maurits-dijk-a51e0be5client11-jfcr5,hfl-train,0.0
1,client1,maurits-dijk-a51e0be5client11-jfcr5,hfl-train-model,0.0
1,client13,maurits-dijk-a51e0be5client131-bbdtg,hfl-train-model,0.0
1,client13,maurits-dijk-a51e0be5client131-bbdtg,hfl-train,0.0
1,client13,maurits-dijk-a51e0be5client131-bbdtg,sidecar,0.0
2,client20,client20-65f8864f77-l5kdx,linkerd-init,0.0
2,server,server-656f98b57f-rlwxb,linkerd-proxy,512.060999999987
2,server,server-656f98b57f-rlwxb,linkerd-init,0.0
2,client8,client8-5845965f99-vwgpx,linkerd-proxy,734.847000000067
2,client8,client8-5845965f99-vwgpx,client8,735.1620000000112
2,client8,client8-5845965f99-vwgpx,linkerd-init,0.0
2,client8,client8-5845965f99-vwgpx,sidecar,733.7129999999888
2,client14,client14-856b5b5576-k4dxn,client14,710.8349999999627
2,client14,client14-856b5b5576-k4dxn,linkerd-proxy,710.6550000001444
2,client14,client14-856b5b5576-k4dxn,linkerd-init,0.0
2,client14,client14-856b5b5576-k4dxn,sidecar,709.3229999998584
2,client10,client10-694b6b97b4-fmmw2,sidecar,658.826999999932
2,client10,client10-694b6b97b4-fmmw2,client10,660.9420000000391
2,client10,client10-694b6b97b4-fmmw2,linkerd-init,0.0
2,client10,client10-694b6b97b4-fmmw2,linkerd-proxy,660.9270000000251
2,orchestrator,orchestrator-555f7b7c9d-vv2z2,linkerd-proxy,354.4079999999958
2,api-gateway,api-gateway-6bf76d45b7-k9j8g,linkerd-proxy,354.55200000002515
2,api-gateway,api-gateway-6bf76d45b7-k9j8g,linkerd-init,0.0
2,orchestrator,policy-enforcer-cb8dccbd8-z7pmg,linkerd-proxy,354.4679999999935
2,orchestrator,orchestrator-555f7b7c9d-vv2z2,linkerd-init,0.0
2,orchestrator,policy-enforcer-cb8dccbd8-z7pmg,linkerd-init,0.0
