Unnamed: 0,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration,K,Z,sigma_ed,sigma_iid,timestamp
15,0.3001306084818684,508.095168042928,3849.382615066133,152198331337,5,100,1000.0,3,18-03-26-155502
16,0.2967501536570375,508.17079399712384,3744.497795938514,152789953135,5,100,1000.0,3,18-03-26-155502
17,0.3013214505224339,511.38397702015936,4085.10779903736,152970106381,5,100,1000.0,3,18-03-26-155502
18,0.3027043638598647,486.3221880514175,3818.241958972066,151930286611,5,100,1000.0,3,18-03-26-155502
19,0.2950215119852489,525.2248769393191,3937.98918905668,153316648096,5,100,1000.0,3,18-03-26-155502
20,0.2755454824830977,483.8451570831239,3812.747936928645,152026316125,5,100,1000.0,3,18-03-26-155502
21,0.276659496004917,503.9902899879962,3816.79387006443,153016355271,5,100,1000.0,3,18-03-26-155502
22,0.2803472649047326,478.2449600752443,3787.734378827736,151643810787,5,100,1000.0,3,18-03-26-155502
23,0.2766979102642901,496.5926050208509,3892.138145980425,152622970620,5,100,1000.0,3,18-03-26-155502
24,0.2770052243392747,479.6465859981254,4052.059630048461,152144058501,5,100,1000.0,3,18-03-26-155502
0,0.3460356484326982,692.6151019288227,10962.09166594781,154427766143,5,100,1.7,6,18-03-26-181832
1,0.4339274738783036,569.8640689952299,10978.435402968898,152771961256,5,100,1.7,6,18-03-26-181832
2,0.3979717271051014,480.21459300071,10343.919163919054,152332011735,5,100,1.7,6,18-03-26-181832
3,0.4225568531038721,450.6772350287065,10992.793297860771,153235943330,5,100,1.7,6,18-03-26-181832
4,0.4741472034419176,470.1564450515434,10264.330229139889,151804756280,5,100,1.7,6,18-03-26-181832
5,0.5007298709280885,479.5653369510546,10204.193343175575,152336072715,5,100,1.7,6,18-03-26-181832
6,0.429279348494161,516.528410022147,10427.57799802348,154069530505,5,100,1.7,6,18-03-26-181832
7,0.4450291948371235,520.3462010249496,10270.102757029235,152779958236,5,100,1.7,6,18-03-26-181832
8,0.5113322065150584,510.6036280049011,10244.365444174036,152409147050,5,100,1.7,6,18-03-26-181832
9,0.5244314689612785,510.0847301073373,10479.525065980852,152033142291,5,100,1.7,6,18-03-26-181832
10,0.5184388444990781,494.9902219232172,10536.476600100286,153734109638,5,100,1.7,6,18-03-26-181832
11,0.5180162876459742,530.8351999847218,10874.255075934345,152394586432,5,100,1.7,6,18-03-26-181832
12,0.5242393976644131,485.6479730224237,10377.09050788544,151846125539,5,100,1.7,6,18-03-26-181832
13,0.5308082360172096,503.5417979815975,10816.453584120609,151869180220,5,100,1.7,6,18-03-26-181832
14,0.5380685310387215,514.6954589290544,10375.68666797597,152147338638,5,100,1.7,6,18-03-26-181832
15,0.5403733866011063,508.1270369701088,10513.516900944524,152939076511,5,100,1.7,6,18-03-26-181832
16,0.5139443761524278,506.1671870062128,10502.668942906894,152950897194,5,100,1.7,6,18-03-26-181832
17,0.4680777504609711,527.499414049089,10307.775670080446,151897375101,5,100,1.7,6,18-03-26-181832
18,0.4858251382913337,523.6984960502014,10762.931945966557,152678396051,5,100,1.7,6,18-03-26-181832
19,0.5207437000614629,489.670641021803,10052.818767842837,151486064398,5,100,1.7,6,18-03-26-181832
20,0.5338429625076828,505.3061509970576,11039.562284946442,151666192284,5,100,1.7,6,18-03-26-181832
21,0.5323063921327597,477.27011993993074,10486.809855909089,151402508561,5,100,1.7,6,18-03-26-181832
22,0.5340350338045482,507.3072320083156,10583.837000071073,152179220767,5,100,1.7,6,18-03-26-181832
23,0.5470958819913952,527.5151679525152,11291.157159139402,153141187143,5,100,1.7,6,18-03-26-181832
24,0.5383758451137062,532.57018502336,10813.92915500328,153173735914,5,100,1.7,6,18-03-26-181832
0,0.155039950829748,580.6590369902551,7661.142765078694,164311298405,5,100,1.7,6,19-03-26-155306
1,0.3275583896742471,571.3103499729186,7199.265717878006,165648028093,5,100,1.7,6,19-03-26-155306
