Round,ClientID,ClientAccuracy,ClientTrainingTime,K,Z,sigma_ed,sigma_iid,timestamp
21,client13,0.7287223823246878,2378.363881027326,5,100,1000.0,10,18-03-26-133632
21,client1,0.7634529147982063,2067.323938012123,5,100,1000.0,10,18-03-26-133632
21,client9,0.7457787896034908,2291.208241949789,5,100,1000.0,10,18-03-26-133632
22,client5,0.7230567029665791,1946.9000970711927,5,100,1000.0,10,18-03-26-133632
22,client17,0.7440677966101695,2043.718701112084,5,100,1000.0,10,18-03-26-133632
22,client13,0.7423631123919309,2345.7453340524808,5,100,1000.0,10,18-03-26-133632
22,client1,0.7372944693572496,1962.1928430860864,5,100,1000.0,10,18-03-26-133632
22,client9,0.7444507683551508,2279.4084949418902,5,100,1000.0,10,18-03-26-133632
23,client5,0.7416447615471273,2167.874247999862,5,100,1000.0,10,18-03-26-133632
23,client17,0.7585687382297551,2164.8717810167,5,100,1000.0,10,18-03-26-133632
23,client13,0.7346781940441883,2318.258614046499,5,100,1000.0,10,18-03-26-133632
23,client1,0.7642002989536621,2001.3241920387368,5,100,1000.0,10,18-03-26-133632
23,client9,0.7564029595902105,2270.5152890412137,5,100,1000.0,10,18-03-26-133632
24,client5,0.7660533233195644,1926.9591730553657,5,100,1000.0,10,18-03-26-133632
24,client17,0.7457627118644068,1954.044054960832,5,100,1000.0,10,18-03-26-133632
24,client13,0.7567723342939481,2401.8075689673424,5,100,1000.0,10,18-03-26-133632
24,client1,0.7627055306427504,2025.34062997438,5,100,1000.0,10,18-03-26-133632
24,client9,0.7370517928286853,1962.1188619639724,5,100,1000.0,10,18-03-26-133632
0,client5,0.1813258232235702,1848.1041319901124,5,100,1.7,10,08-03-26-183752
0,client17,0.1246083393588816,1745.2754499972798,5,100,1.7,10,08-03-26-183752
0,client13,0.1645021645021645,1692.1025220071897,5,100,1.7,10,08-03-26-183752
0,client1,0.1209605692262081,1404.5590030000312,5,100,1.7,10,08-03-26-183752
0,client9,0.3484168105929764,4037.620433999109,5,100,1.7,10,08-03-26-183752
1,client5,0.237001733102253,1688.6513140052557,5,100,1.7,10,08-03-26-183752
1,client17,0.3441793203181489,2103.80468700896,5,100,1.7,10,08-03-26-183752
1,client13,0.2138528138528138,1598.177147010574,5,100,1.7,10,08-03-26-183752
1,client1,0.1855914616068781,1538.91911599203,5,100,1.7,10,08-03-26-183752
1,client9,0.4698906160046056,3951.477012000396,5,100,1.7,10,08-03-26-183752
2,client5,0.4176776429809358,1979.283769003814,5,100,1.7,10,08-03-26-183752
2,client17,0.3967221017112557,1896.771366999019,5,100,1.7,10,08-03-26-183752
2,client13,0.3619047619047619,1691.6587010055082,5,100,1.7,10,08-03-26-183752
2,client1,0.3501334123925289,1700.3707440017024,5,100,1.7,10,08-03-26-183752
2,client9,0.4542314335060449,3810.703724986524,5,100,1.7,10,08-03-26-183752
3,client5,0.5177642980935875,1644.465006000246,5,100,1.7,10,08-03-26-183752
3,client17,0.5244637261990841,1629.825935990084,5,100,1.7,10,08-03-26-183752
3,client13,0.3766233766233766,1589.6131369954674,5,100,1.7,10,08-03-26-183752
3,client1,0.5315742662318411,1285.806526997476,5,100,1.7,10,08-03-26-183752
3,client9,0.5762809441565918,3945.1051490032114,5,100,1.7,10,08-03-26-183752
4,client5,0.5606585788561526,1685.5779670004267,5,100,1.7,10,08-03-26-183752
4,client17,0.5656784767413835,1575.087994991918,5,100,1.7,10,08-03-26-183752
4,client13,0.3864357864357864,1634.293401002651,5,100,1.7,10,08-03-26-183752
4,client1,0.576341535724874,1342.112824000651,5,100,1.7,10,08-03-26-183752
4,client9,0.5937823834196891,3750.783174997196,5,100,1.7,10,08-03-26-183752
5,client5,0.6085355285961872,1793.9476819883566,5,100,1.7,10,08-03-26-183752
5,client17,0.5871294287780188,1582.1728139999325,5,100,1.7,10,08-03-26-183752
5,client13,0.3145743145743145,1614.3461119936546,5,100,1.7,10,08-03-26-183752
5,client1,0.5917580788615476,1283.7148619873915,5,100,1.7,10,08-03-26-183752
5,client9,0.6034542314335061,3750.203720002901,5,100,1.7,10,08-03-26-183752
6,client5,0.5043327556325823,1846.7996170074912,5,100,1.7,10,08-03-26-183752
6,client17,0.5656784767413835,1564.5954909996362,5,100,1.7,10,08-03-26-183752
6,client13,0.4103896103896104,1618.4882320085308,5,100,1.7,10,08-03-26-183752
6,client1,0.5647791283723688,1332.284445001278,5,100,1.7,10,08-03-26-183752
6,client9,0.5783534830166954,3952.846005995525,5,100,1.7,10,08-03-26-183752
7,client5,0.5543760831889082,1866.7543949995888,5,100,1.7,10,08-03-26-183752
7,client17,0.6097854904796336,1582.0408380095614,5,100,1.7,10,08-03-26-183752
