Round,ClientID,ClientAccuracy,ClientTrainingTime,K,Z,sigma_ed,sigma_iid,timestamp
13,client9,0.760431715815416,14015.483033843338,5,15,1000.0,10,02-03-26-195944
14,client5,0.807965456508153,13464.328042929992,5,15,1000.0,10,02-03-26-195944
14,client17,0.7176203553214145,13034.937917953355,5,15,1000.0,10,02-03-26-195944
14,client13,0.6451196225991239,16420.284474967048,5,15,1000.0,10,02-03-26-195944
14,client1,0.8135293125737733,13409.756483044475,5,15,1000.0,10,02-03-26-195944
14,client9,0.5436673182062831,14996.227054158226,5,15,1000.0,10,02-03-26-195944
15,client5,0.7045906482586217,14194.421403110027,5,15,1000.0,10,02-03-26-195944
15,client17,0.7463150815445833,13188.13744513318,5,15,1000.0,10,02-03-26-195944
15,client13,0.7831910591935303,17226.587550947443,5,15,1000.0,10,02-03-26-195944
15,client1,0.7891911640717216,13898.86647905223,5,15,1000.0,10,02-03-26-195944
15,client9,0.8147077986459307,13156.098627019674,5,15,1000.0,10,02-03-26-195944
16,client5,0.7971138003522528,14251.65840703994,5,15,1000.0,10,02-03-26-195944
16,client17,0.8041528890881579,13756.432327907532,5,15,1000.0,10,02-03-26-195944
16,client13,0.8159609120521173,16973.66534988396,5,15,1000.0,10,02-03-26-195944
16,client1,0.7597661739081558,15017.379170050845,5,15,1000.0,10,02-03-26-195944
16,client9,0.8489561202232231,14729.641180019826,5,15,1000.0,10,02-03-26-195944
17,client5,0.7780239759104597,14149.067661957815,5,15,1000.0,10,02-03-26-195944
17,client17,0.8459059575183545,13192.471345886588,5,15,1000.0,10,02-03-26-195944
17,client13,0.8285409412557565,17356.958867050707,5,15,1000.0,10,02-03-26-195944
17,client1,0.7800573323590579,15689.784212969244,5,15,1000.0,10,02-03-26-195944
17,client9,0.8574261352369621,14724.64512498118,5,15,1000.0,10,02-03-26-195944
18,client5,0.7518890972103858,14630.786899011582,5,15,1000.0,10,02-03-26-195944
18,client17,0.8214425825253601,13410.8027969487,5,15,1000.0,10,02-03-26-195944
18,client13,0.7568516230484107,17095.02083202824,5,15,1000.0,10,02-03-26-195944
18,client1,0.8077960766679781,13291.2225399632,5,15,1000.0,10,02-03-26-195944
18,client9,0.8321577292427976,14172.084004851058,5,15,1000.0,10,02-03-26-195944
19,client5,0.6490540310209647,12585.650098975748,5,15,1000.0,10,02-03-26-195944
19,client17,0.7520316090343552,13254.455504007638,5,15,1000.0,10,02-03-26-195944
19,client13,0.8191901606200157,17172.47167113237,5,15,1000.0,10,02-03-26-195944
19,client1,0.8002079703220729,14595.205181045458,5,15,1000.0,10,02-03-26-195944
19,client9,0.7999773377524716,13641.97650598362,5,15,1000.0,10,02-03-26-195944
20,client5,0.712658371683427,13714.988538064064,5,15,1000.0,10,02-03-26-195944
20,client17,0.66916998262624,13188.63083096221,5,15,1000.0,10,02-03-26-195944
20,client13,0.7414916320341458,17255.5487700738,5,15,1000.0,10,02-03-26-195944
20,client1,0.7584733854195942,14190.414787037298,5,15,1000.0,10,02-03-26-195944
20,client9,0.8020735956488485,13867.160419002175,5,15,1000.0,10,02-03-26-195944
21,client5,0.7976819498892108,14382.654587971048,5,15,1000.0,10,02-03-26-195944
21,client17,0.7764389396401951,13207.139109959826,5,15,1000.0,10,02-03-26-195944
21,client13,0.7592384589464225,17001.402006018907,5,15,1000.0,10,02-03-26-195944
21,client1,0.7604687763475915,13494.341124081984,5,15,1000.0,10,02-03-26-195944
21,client9,0.7643126257046543,13629.259849898515,5,15,1000.0,10,02-03-26-195944
22,client5,0.8239304584966763,14052.832649089396,5,15,1000.0,10,02-03-26-195944
22,client17,0.7879000168133161,13428.79886412993,5,15,1000.0,10,02-03-26-195944
22,client13,0.8075367853532517,17092.994316946715,5,15,1000.0,10,02-03-26-195944
22,client1,0.7897251419256928,13492.109490092844,5,15,1000.0,10,02-03-26-195944
22,client9,0.7045692756579134,13628.081048140302,5,15,1000.0,10,02-03-26-195944
23,client5,0.8018010340321573,14392.24203908816,5,15,1000.0,10,02-03-26-195944
23,client17,0.815165611164042,13297.768356045708,5,15,1000.0,10,02-03-26-195944
23,client13,0.8192744018870044,16869.69270510599,5,15,1000.0,10,02-03-26-195944
23,client1,0.8106907987184532,13425.958890933543,5,15,1000.0,10,02-03-26-195944
23,client9,0.7803178380215858,13761.859039077535,5,15,1000.0,10,02-03-26-195944
24,client5,0.7689335833191296,14725.988078163937,5,15,1000.0,10,02-03-26-195944
24,client17,0.7683405256963515,13071.892201900482,5,15,1000.0,10,02-03-26-195944
24,client13,0.8404189599011569,16991.013075923547,5,15,1000.0,10,02-03-26-195944
24,client1,0.8352537800011242,13577.204972039908,5,15,1000.0,10,02-03-26-195944
24,client9,0.7870032010424634,13490.681517869234,5,15,1000.0,10,02-03-26-195944
0,client5,0.5020313734341496,8202.269271016121,5,30,1000.0,10,02-03-26-211419
0,client17,0.5461495222034851,7570.717541035265,5,30,1000.0,10,02-03-26-211419
0,client13,0.5022910147518999,9024.181984132156,5,30,1000.0,10,02-03-26-211419
0,client1,0.493653748519208,8024.869797984138,5,30,1000.0,10,02-03-26-211419
0,client9,0.5552403109572718,7047.239291947335,5,30,1000.0,10,02-03-26-211419
1,client5,0.5309220178309446,7369.68964105472,5,30,1000.0,10,02-03-26-211419
1,client17,0.6112422709387296,6487.117705866694,5,30,1000.0,10,02-03-26-211419
1,client13,0.571636119803308,8387.365521164611,5,30,1000.0,10,02-03-26-211419
1,client1,0.5250747447396626,6821.56656589359,5,30,1000.0,10,02-03-26-211419
1,client9,0.5363445497361403,7646.205995930359,5,30,1000.0,10,02-03-26-211419
2,client5,0.2447804988150321,7229.111153166741,5,30,1000.0,10,02-03-26-211419
2,client17,0.4925801011804384,6578.931889962405,5,30,1000.0,10,02-03-26-211419
2,client13,0.6049955297273134,8363.836391130462,5,30,1000.0,10,02-03-26-211419
2,client1,0.4076267840018051,6997.135047102347,5,30,1000.0,10,02-03-26-211419
