Round,ClientID,ClientAccuracy,ClientTrainingTime,clients,rounds,timestamp,experiment
1,client7,0.529446757882213,75.27227513492107,3,10,13-01-26-165414,C3_R10_13-01-26-165414
1,client8,0.5101214574898786,77.05237716436386,3,10,13-01-26-165414,C3_R10_13-01-26-165414
1,client16,0.5172413793103449,95.20364087074996,3,10,13-01-26-165414,C3_R10_13-01-26-165414
2,client7,0.5859607376561571,74.12758283317089,3,10,13-01-26-165414,C3_R10_13-01-26-165414
2,client8,0.5280508964719491,78.86977167800069,3,10,13-01-26-165414,C3_R10_13-01-26-165414
2,client16,0.5447106954997077,91.01193770766258,3,10,13-01-26-165414,C3_R10_13-01-26-165414
3,client7,0.5829863176680548,73.57472600415349,3,10,13-01-26-165414,C3_R10_13-01-26-165414
3,client8,0.5361480624638519,81.72626700252295,3,10,13-01-26-165414,C3_R10_13-01-26-165414
3,client16,0.5803623611922852,117.89636593312024,3,10,13-01-26-165414,C3_R10_13-01-26-165414
4,client8,0.5228455754771544,78.4929571673274,3,10,13-01-26-165414,C3_R10_13-01-26-165414
4,client7,0.5585960737656157,80.37575799971819,3,10,13-01-26-165414,C3_R10_13-01-26-165414
4,client16,0.5827001753360608,102.36513242125513,3,10,13-01-26-165414,C3_R10_13-01-26-165414
5,client7,0.5901249256395003,76.92694989964366,3,10,13-01-26-165414,C3_R10_13-01-26-165414
5,client8,0.5326778484673221,78.10067385435104,3,10,13-01-26-165414,C3_R10_13-01-26-165414
5,client16,0.581531268264173,92.70614665001632,3,10,13-01-26-165414,C3_R10_13-01-26-165414
6,client7,0.5657346817370613,75.92281699180603,3,10,13-01-26-165414,C3_R10_13-01-26-165414
6,client8,0.5164835164835165,77.2193530574441,3,10,13-01-26-165414,C3_R10_13-01-26-165414
6,client16,0.5832846288720047,100.83316592499614,3,10,13-01-26-165414,C3_R10_13-01-26-165414
7,client8,0.5569693464430306,80.51440911367536,3,10,13-01-26-165414,C3_R10_13-01-26-165414
7,client7,0.578227245687091,85.57910192757845,3,10,13-01-26-165414,C3_R10_13-01-26-165414
7,client16,0.5657510227936879,94.91335833445191,3,10,13-01-26-165414,C3_R10_13-01-26-165414
8,client8,0.551764025448236,82.1008668281138,3,10,13-01-26-165414,C3_R10_13-01-26-165414
8,client7,0.5859607376561571,82.83246494829655,3,10,13-01-26-165414,C3_R10_13-01-26-165414
8,client16,0.5482174167153712,90.988805051893,3,10,13-01-26-165414,C3_R10_13-01-26-165414
9,client8,0.5216888374783112,77.61427201330662,3,10,13-01-26-165414,C3_R10_13-01-26-165414
9,client7,0.5978584176085663,79.93368012830615,3,10,13-01-26-165414,C3_R10_13-01-26-165414
9,client16,0.5844535359438925,93.24578894302248,3,10,13-01-26-165414,C3_R10_13-01-26-165414
0,client5,0.5307726613892295,764.5797440782189,3,10,12-01-26-150656,C3_R10_12-01-26-150656
0,client2,0.5247871333964049,558.5227217525244,3,10,12-01-26-150656,C3_R10_12-01-26-150656
0,client10,0.5235619767755874,676.4189037494361,3,10,12-01-26-150656,C3_R10_12-01-26-150656
1,client5,0.556974021630059,794.6796878241003,3,10,12-01-26-150656,C3_R10_12-01-26-150656
1,client2,0.5422894985808893,536.6850621066988,3,10,12-01-26-150656,C3_R10_12-01-26-150656
1,client10,0.5794625978935998,750.6534028798342,3,10,12-01-26-150656,C3_R10_12-01-26-150656
2,client5,0.543148623034898,804.3780610896647,3,10,12-01-26-150656,C3_R10_12-01-26-150656
2,client2,0.592147587511826,527.3152543231845,3,10,12-01-26-150656,C3_R10_12-01-26-150656
2,client10,0.5824331623008372,736.9918208569288,3,10,12-01-26-150656,C3_R10_12-01-26-150656
3,client5,0.564611439402386,783.628991805017,3,10,12-01-26-150656,C3_R10_12-01-26-150656
3,client2,0.5972563859981078,503.7778457626701,3,10,12-01-26-150656,C3_R10_12-01-26-150656
3,client10,0.5283553875236295,712.7111833542585,3,10,12-01-26-150656,C3_R10_12-01-26-150656
4,client5,0.5985617125655034,771.9611972570419,3,10,12-01-26-150656,C3_R10_12-01-26-150656
4,client2,0.5484389782403027,514.8899117484689,3,10,12-01-26-150656,C3_R10_12-01-26-150656
4,client10,0.5703483661895761,689.048491884023,3,10,12-01-26-150656,C3_R10_12-01-26-150656
5,client5,0.5637752257776787,757.4713099747896,3,10,12-01-26-150656,C3_R10_12-01-26-150656
5,client2,0.595364238410596,495.9051357582212,3,10,12-01-26-150656,C3_R10_12-01-26-150656
5,client10,0.5930326762084797,684.1092808172107,3,10,12-01-26-150656,C3_R10_12-01-26-150656
6,client5,0.5636637306277177,765.2964130975306,3,10,12-01-26-150656,C3_R10_12-01-26-150656
6,client2,0.5207190160832545,543.443993665278,3,10,12-01-26-150656,C3_R10_12-01-26-150656
