Unnamed: 0,namespace,pod_name,container_name,joules,K,Z,sigma_ed,sigma_iid,timestamp
84,client9,client9-d68fb99b4-zvn9r,client9,16911.37613333333,5,30,1000.0,10,02-03-26-211419
85,client9,client9-d68fb99b4-zvn9r,sidecar,14249.335127272729,5,30,1000.0,10,02-03-26-211419
86,client9,client9-d68fb99b4-zvn9r,linkerd-proxy,16889.096539393937,5,30,1000.0,10,02-03-26-211419
87,client11,client11-565c48c7c7-7shmw,sidecar,17075.380800000003,5,30,1000.0,10,02-03-26-211419
88,client11,client11-565c48c7c7-7shmw,client11,18824.339509090907,5,30,1000.0,10,02-03-26-211419
89,client11,client11-565c48c7c7-7shmw,linkerd-proxy,18817.60149696969,5,30,1000.0,10,02-03-26-211419
90,client1,client1-7b9db886dd-qgwhn,client1,17642.014957575757,5,30,1000.0,10,02-03-26-211419
91,client1,client1-7b9db886dd-qgwhn,sidecar,15506.473387878788,5,30,1000.0,10,02-03-26-211419
92,api-gateway,api-gateway-6bf76d45b7-gbl6q,sidecar,7786.607696969697,5,30,1000.0,10,02-03-26-211419
93,orchestrator,policy-enforcer-cb8dccbd8-zrwdw,policy-enforcer,5945.663630303031,5,30,1000.0,10,02-03-26-211419
94,api-gateway,api-gateway-6bf76d45b7-gbl6q,api-gateway,9959.76781818182,5,30,1000.0,10,02-03-26-211419
95,orchestrator,policy-enforcer-cb8dccbd8-zrwdw,sidecar,7881.593103030303,5,30,1000.0,10,02-03-26-211419
96,client1,maurits-dijk-aefa12fcclient11-q2kf7,hfl-train,23522.720884848488,5,30,1000.0,10,02-03-26-211419
97,client1,maurits-dijk-aefa12fcclient11-q2kf7,hfl-train-model,17492.97726666667,5,30,1000.0,10,02-03-26-211419
98,client1,maurits-dijk-aefa12fcclient11-q2kf7,sidecar,14515.232569696973,5,30,1000.0,10,02-03-26-211419
99,client17,maurits-dijk-aefa12fcclient171-4mgv7,hfl-train,22735.2393217884,5,30,1000.0,10,02-03-26-211419
100,client17,maurits-dijk-aefa12fcclient171-4mgv7,hfl-train-model,16948.697566138213,5,30,1000.0,10,02-03-26-211419
101,client17,maurits-dijk-aefa12fcclient171-4mgv7,sidecar,15628.634893458417,5,30,1000.0,10,02-03-26-211419
102,client5,maurits-dijk-aefa12fcclient51-46vvn,sidecar,12344.02006060606,5,30,1000.0,10,02-03-26-211419
103,client5,maurits-dijk-aefa12fcclient51-46vvn,hfl-train,23857.162781818188,5,30,1000.0,10,02-03-26-211419
104,client5,maurits-dijk-aefa12fcclient51-46vvn,hfl-train-model,17237.755400000005,5,30,1000.0,10,02-03-26-211419
105,client13,maurits-dijk-aefa12fcclient131-7lntn,hfl-train,25462.439733333333,5,30,1000.0,10,02-03-26-211419
106,client13,maurits-dijk-aefa12fcclient131-7lntn,sidecar,14670.345963636364,5,30,1000.0,10,02-03-26-211419
107,client13,maurits-dijk-aefa12fcclient131-7lntn,hfl-train-model,16733.895442424244,5,30,1000.0,10,02-03-26-211419
108,server,maurits-dijk-aefa12fcserver1-9b6q9,hfl-train,11820.820072727272,5,30,1000.0,10,02-03-26-211419
109,server,maurits-dijk-aefa12fcserver1-9b6q9,hfl-train-model,20314.83133939394,5,30,1000.0,10,02-03-26-211419
110,server,maurits-dijk-aefa12fcserver1-9b6q9,sidecar,10047.0008049447,5,30,1000.0,10,02-03-26-211419
111,client9,maurits-dijk-aefa12fcclient91-hwq7f,hfl-train,23239.555018181814,5,30,1000.0,10,02-03-26-211419
112,client9,maurits-dijk-aefa12fcclient91-hwq7f,sidecar,14568.61044848485,5,30,1000.0,10,02-03-26-211419
113,client9,maurits-dijk-aefa12fcclient91-hwq7f,hfl-train-model,16771.190400000003,5,30,1000.0,10,02-03-26-211419
0,client14,client14-856b5b5576-x8q9f,linkerd-init,0.0,5,120,1000.0,10,03-03-26-004803
1,client18,client18-69db77c748-576qf,linkerd-init,0.0,5,120,1000.0,10,03-03-26-004803
2,client2,client2-86cd6d8cf7-dhtmk,linkerd-init,0.0,5,120,1000.0,10,03-03-26-004803
3,orchestrator,orchestrator-555f7b7c9d-dk9n8,linkerd-init,0.0,5,120,1000.0,10,03-03-26-004803
4,api-gateway,api-gateway-6bf76d45b7-dvl9b,linkerd-init,0.0,5,120,1000.0,10,03-03-26-004803
5,api-gateway,api-gateway-6bf76d45b7-dvl9b,linkerd-proxy,9345.708359375,5,120,1000.0,10,03-03-26-004803
6,orchestrator,policy-enforcer-cb8dccbd8-rdphj,linkerd-proxy,8809.219625,5,120,1000.0,10,03-03-26-004803
7,orchestrator,orchestrator-555f7b7c9d-dk9n8,linkerd-proxy,8809.756406249999,5,120,1000.0,10,03-03-26-004803
8,orchestrator,policy-enforcer-cb8dccbd8-rdphj,linkerd-init,0.0,5,120,1000.0,10,03-03-26-004803
9,client7,client7-544486cc98-7t2tf,linkerd-init,0.0,5,120,1000.0,10,03-03-26-004803
10,client7,client7-544486cc98-7t2tf,sidecar,18415.9755625,5,120,1000.0,10,03-03-26-004803
11,client7,client7-544486cc98-7t2tf,client7,18450.049109375,5,120,1000.0,10,03-03-26-004803
12,client7,client7-544486cc98-7t2tf,linkerd-proxy,18443.02571875,5,120,1000.0,10,03-03-26-004803
13,client5,client5-7d5ff7f8b4-ncdpp,linkerd-init,0.0,5,120,1000.0,10,03-03-26-004803
14,client5,client5-7d5ff7f8b4-ncdpp,sidecar,14547.5800625,5,120,1000.0,10,03-03-26-004803
15,client5,client5-7d5ff7f8b4-ncdpp,client5,16374.31903125,5,120,1000.0,10,03-03-26-004803
