GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration,clients,rounds,timestamp,experiment
0.5872,14.10125201800838,1986.746997921728,6744690124,15,40,small,C15_R40_small_26-01-26-132602_small
0.59586,15.371601039078088,2021.4876979589465,7907730002,15,40,small,C15_R40_small_26-01-26-132602_small
0.57154,12.55991298239678,2009.1628399095496,6720489826,15,40,small,C15_R40_small_26-01-26-132602_small
0.5958,15.933862014207987,2005.4341909126376,6700816765,15,40,small,C15_R40_small_26-01-26-132602_small
0.56597,15.921137004625052,2006.954954995308,6687910604,15,40,small,C15_R40_small_26-01-26-132602_small
0.59787,16.045051044784486,1976.0437781224027,6691130062,15,40,small,C15_R40_small_26-01-26-132602_small
0.5967,10.383013053797184,1928.8574600941504,8088855276,15,40,small,C15_R40_small_26-01-26-132602_small
0.59924,15.3170459670946,2007.6174201094543,6719654233,15,40,small,C15_R40_small_26-01-26-132602_small
0.58399,12.3577699996531,1975.5252140457744,6634775449,15,40,small,C15_R40_small_26-01-26-132602_small
0.59694,15.03602700540796,2032.995857996866,6656014930,15,40,small,C15_R40_small_26-01-26-132602_small
0.59908,17.474911001045257,1962.363827973604,6681781356,15,40,small,C15_R40_small_26-01-26-132602_small
0.58941,13.595475989859551,1950.2374900039283,7752993620,15,40,small,C15_R40_small_26-01-26-132602_small
0.57594,18.67573900381103,1959.2399931279945,6650669187,15,40,small,C15_R40_small_26-01-26-132602_small
0.59109,13.872169016394764,1984.0693870210089,6649514100,15,40,small,C15_R40_small_26-01-26-132602_small
0.59304,16.364804992917925,1928.5324331722225,6764875103,15,40,small,C15_R40_small_26-01-26-132602_small
0.60009,15.215535007882863,1968.03577512037,6630287932,15,40,small,C15_R40_small_26-01-26-132602_small
0.59712,14.854504028335214,1903.9705001632683,8039671359,15,40,small,C15_R40_small_26-01-26-132602_small
0.59612,14.087926014326513,2014.687317132484,6748643929,15,40,small,C15_R40_small_26-01-26-132602_small
0.58708,15.508687996771188,1969.9496339308096,6699997688,15,40,small,C15_R40_small_26-01-26-132602_small
0.59893,20.66506299888715,2028.7145599722865,6668603859,15,40,small,C15_R40_small_26-01-26-132602_small
0.59812,17.84947799751535,1968.3369220001623,6713814840,15,40,small,C15_R40_small_26-01-26-132602_small
0.59311,13.289809983689338,1968.1351180770437,7736324373,15,40,small,C15_R40_small_26-01-26-132602_small
0.58317,16.217647003941238,1949.868320953101,6722372836,15,40,small,C15_R40_small_26-01-26-132602_small
