namespace,pod_name,container_name,joules,clients,rounds,timestamp,experiment
client12,client12-79bc8d5846-xn5qj,linkerd-proxy,540.5587499999999,15,20,small,C15_R20_small_26-01-26-125711_small
client12,client12-79bc8d5846-xn5qj,client12,542.9592749999999,15,20,small,C15_R20_small_26-01-26-125711_small
client12,client12-79bc8d5846-xn5qj,sidecar,539.4836250000001,15,20,small,C15_R20_small_26-01-26-125711_small
client12,client12-79bc8d5846-xn5qj,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-125711_small
client5,client5-7d5ff7f8b4-mz4hz,sidecar,543.4774500000001,15,20,small,C15_R20_small_26-01-26-125711_small
client5,client5-7d5ff7f8b4-mz4hz,client5,619.3706999999999,15,20,small,C15_R20_small_26-01-26-125711_small
client5,client5-7d5ff7f8b4-mz4hz,linkerd-proxy,618.979425,15,20,small,C15_R20_small_26-01-26-125711_small
server,server-656f98b57f-lpttr,server,483.675825,15,20,small,C15_R20_small_26-01-26-125711_small
server,server-656f98b57f-lpttr,sidecar,478.197975,15,20,small,C15_R20_small_26-01-26-125711_small
server,server-656f98b57f-lpttr,linkerd-proxy,479.02987500000006,15,20,small,C15_R20_small_26-01-26-125711_small
client7,client7-544486cc98-mhq2x,client7,540.1780500000001,15,20,small,C15_R20_small_26-01-26-125711_small
client7,client7-544486cc98-mhq2x,sidecar,536.9844,15,20,small,C15_R20_small_26-01-26-125711_small
api-gateway,api-gateway-6bf76d45b7-qvdm8,sidecar,297.1575,15,20,small,C15_R20_small_26-01-26-125711_small
api-gateway,api-gateway-6bf76d45b7-qvdm8,api-gateway,332.29822500000006,15,20,small,C15_R20_small_26-01-26-125711_small
orchestrator,orchestrator-555f7b7c9d-cskgr,orchestrator,257.293275,15,20,small,C15_R20_small_26-01-26-125711_small
orchestrator,policy-enforcer-cb8dccbd8-2lsrq,sidecar,297.03060000000005,15,20,small,C15_R20_small_26-01-26-125711_small
orchestrator,orchestrator-555f7b7c9d-cskgr,sidecar,300.220725,15,20,small,C15_R20_small_26-01-26-125711_small
orchestrator,policy-enforcer-cb8dccbd8-2lsrq,policy-enforcer,226.4918250000001,15,20,small,C15_R20_small_26-01-26-125711_small
client4,maurits-dijk-1b058a49client41-bfjvb,hfl-train,639.7134750000001,15,20,small,C15_R20_small_26-01-26-125711_small
client4,maurits-dijk-1b058a49client41-bfjvb,sidecar,611.4147750000001,15,20,small,C15_R20_small_26-01-26-125711_small
client4,maurits-dijk-1b058a49client41-bfjvb,hfl-train-model,612.6802500000001,15,20,small,C15_R20_small_26-01-26-125711_small
client6,maurits-dijk-1b058a49client61-2thrq,hfl-train,553.4743500000001,15,20,small,C15_R20_small_26-01-26-125711_small
client6,maurits-dijk-1b058a49client61-2thrq,sidecar,525.7396500000001,15,20,small,C15_R20_small_26-01-26-125711_small
client6,maurits-dijk-1b058a49client61-2thrq,hfl-train-model,526.7478000000001,15,20,small,C15_R20_small_26-01-26-125711_small
client13,maurits-dijk-1b058a49client131-f2h5f,sidecar,586.3391,15,20,small,C15_R20_small_26-01-26-125711_small
client13,maurits-dijk-1b058a49client131-f2h5f,hfl-train-model,587.0582,15,20,small,C15_R20_small_26-01-26-125711_small
client13,maurits-dijk-1b058a49client131-f2h5f,hfl-train,647.6694,15,20,small,C15_R20_small_26-01-26-125711_small
client19,maurits-dijk-1b058a49client191-6jg4z,hfl-train,579.1339999999999,15,20,small,C15_R20_small_26-01-26-125711_small
client19,maurits-dijk-1b058a49client191-6jg4z,sidecar,552.5273,15,20,small,C15_R20_small_26-01-26-125711_small
client19,maurits-dijk-1b058a49client191-6jg4z,hfl-train-model,553.3450999999999,15,20,small,C15_R20_small_26-01-26-125711_small
client1,maurits-dijk-1b058a49client11-sndz2,hfl-train-model,540.4577,15,20,small,C15_R20_small_26-01-26-125711_small
client1,maurits-dijk-1b058a49client11-sndz2,sidecar,539.7668,15,20,small,C15_R20_small_26-01-26-125711_small
