Unnamed: 0,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration,K,Z,sigma_ed,sigma_iid,timestamp
9,0.515480946527351,530.2074840292335,7709.006021963432,153969804131,5,150,1000.0,10,03-03-26-015736
10,0.4587814996926859,499.4342040736228,7798.620268935338,154350929936,5,150,1000.0,10,03-03-26-015736
11,0.4276659496004917,497.7440929505974,8053.186831064522,154315837740,5,150,1000.0,10,03-03-26-015736
12,0.3478411186232329,503.0155749991536,7473.440852947533,153917073975,5,150,1000.0,10,03-03-26-015736
13,0.3559849416103257,528.6918608471751,7752.213028958067,154384352693,5,150,1000.0,10,03-03-26-015736
14,0.3324754148740012,528.0156850349158,7384.399588918313,153277263279,5,150,1000.0,10,03-03-26-015736
15,0.4739551321450522,561.7098461370915,7909.061128972098,156473100869,5,150,1000.0,10,03-03-26-015736
16,0.5715657652120467,523.9559668116271,8276.3204772491,155174284345,5,150,1000.0,10,03-03-26-015736
17,0.5935387215734481,507.8869350254536,7552.525438833982,156242776616,5,150,1000.0,10,03-03-26-015736
18,0.6252688998156115,523.6538611352444,7831.024497980252,155807128227,5,150,1000.0,10,03-03-26-015736
19,0.6141287645974186,501.8858269322664,7793.7954240478575,154638377180,5,150,1000.0,10,03-03-26-015736
20,0.6224646588813768,518.2300030719489,7894.833440193906,154990159848,5,150,1000.0,10,03-03-26-015736
21,0.647280270436386,508.1623289734125,7626.017850125208,153540675598,5,150,1000.0,10,03-03-26-015736
22,0.6379071911493547,481.9998568855226,7688.94753488712,154478929056,5,150,1000.0,10,03-03-26-015736
23,0.6662953288260602,516.9183951802552,7423.034076346084,154565369861,5,150,1000.0,10,03-03-26-015736
24,0.664681929932391,506.98850909248,7614.821718074381,153527858919,5,150,1000.0,10,03-03-26-015736
0,0.1107867240319606,708.5045678541064,5601.219817763194,153853886431,5,230,1000.0,10,03-03-26-041643
1,0.18799938537185,530.0636659376323,5285.778127145022,154375626380,5,230,1000.0,10,03-03-26-041643
2,0.1621081745543945,555.6011858861893,4973.939650226384,154724334728,5,230,1000.0,10,03-03-26-041643
3,0.2587584511370621,511.3341989926994,4914.668022189289,153677204795,5,230,1000.0,10,03-03-26-041643
4,0.3370082974800246,537.5505581032485,4970.125538296998,152045576517,5,230,1000.0,10,03-03-26-041643
5,0.4032344806392133,498.3426458202303,5055.099966935813,153945940242,5,230,1000.0,10,03-03-26-041643
6,0.441879225568531,517.3527419101447,5078.84424040094,153656581844,5,230,1000.0,10,03-03-26-041643
7,0.4469883220651506,511.4698659162968,5042.85731818527,152456175192,5,230,1000.0,10,03-03-26-041643
8,0.458819913952059,515.2732250280678,5152.4914221372455,154421979993,5,230,1000.0,10,03-03-26-041643
9,0.4444145666871543,528.028008993715,4925.738568883389,154323224392,5,230,1000.0,10,03-03-26-041643
10,0.5043023970497849,504.7070500440896,5150.251558981836,153351089622,5,230,1000.0,10,03-03-26-041643
11,0.5080285802089736,528.452639002353,5188.945717876777,154445572886,5,230,1000.0,10,03-03-26-041643
12,0.5775968039336201,525.7965330965817,5111.554731847718,153618284269,5,230,1000.0,10,03-03-26-041643
13,0.5581976029502151,520.8545830100775,5080.039410153404,154168676903,5,230,1000.0,10,03-03-26-041643
14,0.5547787338660111,526.6219540499151,5010.6004741974175,154419051344,5,230,1000.0,10,03-03-26-041643
15,0.5210125998770744,510.7786930166185,5243.64317394793,152438486045,5,230,1000.0,10,03-03-26-041643
16,0.4760679164105716,529.2249219492078,5034.599372185767,155480829881,5,230,1000.0,10,03-03-26-041643
17,0.5328057775046097,575.5312710534781,5298.732302850112,154743388806,5,230,1000.0,10,03-03-26-041643
18,0.5222418561770129,547.5827569607645,5029.590626247227,152571658897,5,230,1000.0,10,03-03-26-041643
19,0.4788721573448063,529.1499649174511,4970.723437145352,153439616611,5,230,1000.0,10,03-03-26-041643
20,0.4525583896742471,474.71126401796937,5165.323136840016,151671850932,5,230,1000.0,10,03-03-26-041643
21,0.4816379840196681,512.8200808539987,5072.528349002823,153333969826,5,230,1000.0,10,03-03-26-041643
22,0.3888675476336816,481.641995953396,4883.575124898925,154853364772,5,230,1000.0,10,03-03-26-041643
23,0.4081130915795943,583.3946960046887,5069.845009595156,152862438415,5,230,1000.0,10,03-03-26-041643
24,0.4177934849416103,542.5178338773549,5294.600775232539,151746038902,5,230,1000.0,10,03-03-26-041643
0,0.1364474492931776,622.3594069015235,12853.405121248215,153682905557,5,90,1000.0,10,02-03-26-233730
1,0.2964428395820528,495.34160387702286,12634.404152398927,156161456122,5,90,1000.0,10,02-03-26-233730
2,0.4494852489244007,556.8671999499202,12148.39459466748,154482596555,5,90,1000.0,10,02-03-26-233730
3,0.5366856177012908,538.7510440777987,12374.19506907463,154884713561,5,90,1000.0,10,02-03-26-233730
4,0.5545482483097726,515.1465160306543,12934.835967142137,154748019307,5,90,1000.0,10,02-03-26-233730
5,0.5866625691456668,502.71081482060254,12487.662364030257,154706463504,5,90,1000.0,10,02-03-26-233730
6,0.6249231714812539,512.0755538810045,12179.444402921945,153811266748,5,90,1000.0,10,02-03-26-233730
7,0.594460663798402,508.3070809487253,12351.6587393824,155370382547,5,90,1000.0,10,02-03-26-233730
8,0.4039643515673017,535.2175158914179,13159.442021278664,154699544066,5,90,1000.0,10,02-03-26-233730
9,0.3100030731407499,470.76607099734247,12144.067029934376,156259725492,5,90,1000.0,10,02-03-26-233730
10,0.2649431468961278,496.24962196685374,12471.549346111717,153172272916,5,90,1000.0,10,02-03-26-233730
11,0.4007759680393362,503.76465707086027,12160.439210245386,154786835525,5,90,1000.0,10,02-03-26-233730
12,0.542140442532268,580.337560037151,12363.10677230358,156555224889,5,90,1000.0,10,02-03-26-233730
13,0.6082897971727105,529.509668936953,11998.596219811589,155428335122,5,90,1000.0,10,02-03-26-233730
14,0.6287261831591887,513.8995780143887,13036.042627645656,155443557287,5,90,1000.0,10,02-03-26-233730
15,0.6378687768899816,525.7896990515292,12539.663360919803,156474588835,5,90,1000.0,10,02-03-26-233730
