Round,ClientID,ClientAccuracy,ClientTrainingTime,K,Z,sigma_ed,sigma_iid,timestamp
24,client1,0.7484559236384054,997.1217289566994,5,100,1000.0,3,18-03-26-155502
24,client9,0.8401129943502825,806.3495360547677,5,100,1000.0,3,18-03-26-155502
0,client5,0.3897074994501869,1656.4361619530246,5,100,1.7,6,18-03-26-181832
0,client13,0.2417391304347826,946.4329719776288,5,100,1.7,6,18-03-26-181832
0,client17,0.7402491704751769,6429.588282015175,5,100,1.7,6,18-03-26-181832
0,client1,0.2678729037952339,885.591187980026,5,100,1.7,6,18-03-26-181832
0,client9,0.2739193783389995,1044.0430620219558,5,100,1.7,6,18-03-26-181832
1,client5,0.64548053661755,1715.770659968257,5,100,1.7,6,18-03-26-181832
1,client13,0.297391304347826,884.4418060034513,5,100,1.7,6,18-03-26-181832
1,client17,0.7371188881237087,6123.418553033844,5,100,1.7,6,18-03-26-181832
1,client1,0.4046778464254192,1139.8071049479768,5,100,1.7,6,18-03-26-181832
1,client9,0.4205925206410879,1114.9972790153697,5,100,1.7,6,18-03-26-181832
2,client5,0.7543435232021113,1681.899563991465,5,100,1.7,6,18-03-26-181832
2,client13,0.6365217391304347,883.3296470111236,5,100,1.7,6,18-03-26-181832
2,client17,0.6178551305327741,5761.513875913806,5,100,1.7,6,18-03-26-181832
2,client1,0.6641659311562225,1065.3439960442483,5,100,1.7,6,18-03-26-181832
2,client9,0.5541525012141817,951.8320809584112,5,100,1.7,6,18-03-26-181832
3,client5,0.7200351880360677,1612.4732589814812,5,100,1.7,6,18-03-26-181832
3,client13,0.7333333333333333,827.8090030653402,5,100,1.7,6,18-03-26-181832
3,client17,0.7242221248356602,6708.157617948018,5,100,1.7,6,18-03-26-181832
3,client1,0.7449249779346867,887.7687989734113,5,100,1.7,6,18-03-26-181832
3,client9,0.6925692083535697,956.5846188925208,5,100,1.7,6,18-03-26-181832
4,client5,0.7686386628546295,1673.33417898044,5,100,1.7,6,18-03-26-181832
4,client13,0.8017391304347826,860.0005500484258,5,100,1.7,6,18-03-26-181832
4,client17,0.7927127026857823,5894.146913080476,5,100,1.7,6,18-03-26-181832
4,client1,0.7771403353927626,888.0454079480842,5,100,1.7,6,18-03-26-181832
4,client9,0.7090820786789703,948.8031790824608,5,100,1.7,6,18-03-26-181832
5,client5,0.8113041565867605,1647.756269085221,5,100,1.7,6,18-03-26-181832
5,client13,0.8481159420289855,848.3350550523028,5,100,1.7,6,18-03-26-181832
5,client17,0.7979089713892193,5872.422733926214,5,100,1.7,6,18-03-26-181832
